i	j	len_i	len_j	identity
16246	14725	408	521	0.36
4196	22156	250	865	0.27586206896551724
1378	15080	504	328	0.21739130434782608
14432	471	477	337	0.2692307692307692
4652	3858	1245	261	0.40816326530612246
15003	4417	1286	255	0.35185185185185186
2058	21654	379	516	0.19718309859154928
4643	33695	507	325	0.34782608695652173
15597	18250	1524	617	0.3888888888888889
31812	14040	418	454	0.4230769230769231
8671	30976	651	1340	0.23711340206185566
15925	30996	93	737	0.32
26677	12478	494	192	0.26666666666666666
6181	6352	500	414	0.35294117647058826
28249	23219	558	258	0.3157894736842105
27759	26941	339	522	0.21153846153846154
30606	3550	291	1537	0.24731182795698925
6449	3972	1520	335	0.18604651162790697
26386	22236	540	454	0.25
7161	16295	415	448	0.28
12556	12465	165	362	0.5833333333333334
29400	9186	544	128	0.42857142857142855
27648	12025	256	258	0.3522727272727273
18254	30318	514	1273	0.2727272727272727
16371	4940	406	343	0.5
29041	6416	857	594	0.2033898305084746
3315	967	292	312	0.2513089005235602
6112	15491	1544	505	0.3018867924528302
10899	26634	762	1276	0.2807017543859649
31826	31546	517	438	0.2916666666666667
14008	26282	154	383	0.5
3842	10789	519	540	0.2647058823529412
24836	141	727	265	0.24210526315789474
25586	17380	499	508	0.20902612826603326
29819	18694	1490	1321	0.3381679389312977
27722	31894	554	507	0.3333333333333333
10144	12445	512	502	0.47619047619047616
19445	14267	863	223	0.29347826086956524
3832	3994	292	312	0.3021978021978022
20552	3746	510	514	0.25
3286	31246	374	1188	0.25925925925925924
32954	34807	908	262	0.3157894736842105
10317	3727	532	394	0.3888888888888889
33281	5250	1458	549	0.21374045801526717
12178	4490	1325	399	0.23414634146341465
4453	15414	429	504	0.4375
26461	7856	403	423	0.5833333333333334
16135	2604	192	404	0.30434782608695654
5372	27474	507	466	0.28205128205128205
34261	20733	1276	242	0.37037037037037035
17089	13386	562	524	0.3037974683544304
20590	15642	1264	159	0.2982456140350877
17407	25938	255	501	0.4090909090909091
8577	19660	1366	585	0.2903225806451613
29964	20720	737	509	0.20512820512820512
4754	610	318	187	0.3181818181818182
30034	6552	1282	538	0.24242424242424243
4801	13969	507	301	0.2857142857142857
33153	17380	347	508	0.14705882352941177
8680	22872	1245	1288	0.6279620853080569
4508	16009	434	535	0.4375
24217	18676	536	1283	0.21978021978021978
10338	28716	1336	431	0.38461538461538464
19825	34664	492	786	0.34782608695652173
512	19620	1271	600	0.3018867924528302
6788	8800	238	227	0.4642857142857143
17332	7564	899	516	0.3684210526315789
7014	10187	1195	558	0.2608695652173913
17848	18465	458	362	0.28
13803	22471	1279	650	0.2408026755852843
13342	17300	1332	1527	0.35066864784546803
33122	32016	367	356	0.2826086956521739
16457	3329	394	304	0.4666666666666667
6048	27759	510	339	0.3870967741935484
18132	2889	116	806	0.3333333333333333
232	21859	220	489	0.20833333333333334
8573	17167	1505	542	0.3939393939393939
10589	28956	851	387	0.3103448275862069
28028	633	386	644	0.2564102564102564
9768	2361	448	486	0.24541284403669725
24196	9705	861	345	0.3170731707317073
28166	8352	1273	349	0.21052631578947367
2741	20202	1075	1228	0.3473108477666363
23897	2614	570	508	0.35294117647058826
23449	13767	1556	1299	0.35316265060240964
16353	6736	404	428	0.3
23178	26632	357	1292	0.5454545454545454
10128	15514	213	292	0.25773195876288657
10649	11603	461	310	0.2962962962962963
27020	1624	222	557	0.6
11754	21770	547	276	0.35294117647058826
26982	16263	343	223	0.3076923076923077
17485	10433	484	1290	0.21428571428571427
7084	25070	410	349	0.4
2537	30847	712	547	0.24242424242424243
14577	13079	473	192	0.36666666666666664
30166	22915	567	612	0.28125
20000	14915	1284	223	0.2912621359223301
14609	1550	532	503	0.20161290322580644
12656	26113	188	273	0.5
21512	18258	1181	277	0.2702702702702703
4549	18292	343	1276	0.5
23012	33384	417	100	0.32558139534883723
26193	21702	544	475	0.19672131147540983
1808	7559	1364	465	0.25396825396825395
17118	11702	440	335	0.32075471698113206
17397	2507	486	524	0.4166666666666667
7104	28479	1298	509	0.2318840579710145
22654	20557	717	1319	0.225
28599	33516	430	1020	0.25688073394495414
7578	25244	1323	260	0.2411764705882353
12457	16693	556	513	0.3870967741935484
2908	28577	348	414	0.24324324324324326
110	34073	544	765	0.48
12912	23869	293	447	0.21568627450980393
28265	4585	510	327	0.32142857142857145
21639	20572	312	450	0.375
8167	19681	505	585	0.35294117647058826
33234	20269	778	346	0.5
26764	21376	486	524	0.26582278481012656
26371	19376	1531	543	0.25
8341	12572	417	265	0.4166666666666667
27554	24847	650	473	0.4666666666666667
11405	19723	208	571	0.2711864406779661
26612	26	332	246	0.2398190045248869
19914	18803	1279	490	0.3888888888888889
13774	28173	164	748	0.3157894736842105
21118	30473	622	619	0.6837121212121212
28952	28977	524	582	0.5623762376237624
14005	33500	292	283	0.2857142857142857
31010	11120	320	658	0.3333333333333333
5557	18598	507	509	0.25
33780	21966	473	898	0.2708333333333333
6120	15392	549	379	0.3870967741935484
20343	14722	659	556	0.27906976744186046
13050	9656	505	585	0.23214285714285715
1600	3028	498	526	0.24
16046	31138	317	271	0.4
4772	29846	580	255	0.2542372881355932
27160	12742	534	293	0.20833333333333334
25164	32399	1209	508	0.19230769230769232
26191	15989	522	292	0.30952380952380953
9671	363	317	394	0.35714285714285715
6985	27862	315	251	0.20869565217391303
14341	11526	223	408	0.3225806451612903
33944	30444	795	1338	0.3181818181818182
3291	16331	928	853	0.6469893742621016
7953	29914	1276	253	0.2571428571428571
8738	30450	516	339	0.2727272727272727
34808	20794	933	403	0.3
29004	33081	793	1447	0.3
27966	29223	442	509	0.38461538461538464
10430	31108	564	345	0.29411764705882354
29495	16986	335	555	0.5
16203	18173	451	192	0.6844919786096256
34163	31758	127	540	0.2857142857142857
15679	17996	394	1275	0.2421875
28827	5077	334	410	0.2698412698412698
18725	15367	273	529	0.3076923076923077
17807	22010	405	1274	0.2962962962962963
20952	5280	1326	1333	0.6345998383185125
9068	9884	483	466	0.27184466019417475
15155	25102	123	1216	0.5454545454545454
10014	14021	482	232	0.3409090909090909
4209	27188	515	847	0.38095238095238093
26712	21684	493	316	0.3611111111111111
30534	27248	438	335	0.2786885245901639
4080	13555	562	505	0.2182890855457227
27534	25524	604	647	0.6677908937605397
1280	24928	255	1355	0.6363636363636364
31259	386	263	448	0.34210526315789475
23052	19569	1229	695	0.25
25558	27460	808	524	0.2564102564102564
14453	31996	534	362	0.24489795918367346
14380	17887	448	317	0.5625
28562	31827	468	418	0.26582278481012656
1902	25484	259	468	0.3684210526315789
22028	26497	1552	375	0.2972972972972973
10816	30630	335	278	0.3225806451612903
8364	35004	616	673	0.375
1767	25822	394	524	0.27906976744186046
1776	5501	793	687	0.3235294117647059
28089	8893	495	461	0.24873096446700507
30257	11909	1325	1302	0.8953488372093024
3295	17049	1317	466	0.46153846153846156
24844	21453	481	346	0.26666666666666666
13871	29799	446	260	0.30952380952380953
21420	22118	496	560	0.47058823529411764
24846	18235	480	1529	0.24489795918367346
27627	16532	513	448	0.30409356725146197
5367	30822	1539	280	0.2833333333333333
1270	3413	515	544	0.9359223300970874
22935	14694	343	1508	0.23333333333333334
4496	2638	356	355	0.25
2033	16205	919	410	0.28125
13065	1335	292	342	0.5
9986	15633	261	1330	0.4117647058823529
8272	31035	494	361	0.37777777777777777
7496	14284	403	188	0.2727272727272727
30476	16793	894	478	0.3055555555555556
24175	10996	257	550	0.4444444444444444
7506	10732	492	657	0.5454545454545454
20384	7084	280	410	0.27906976744186046
1682	20444	518	296	0.23076923076923078
24596	25995	411	471	0.25
12997	4980	190	1265	0.4444444444444444
15915	6678	94	496	0.2926829268292683
19764	7933	500	533	0.2052401746724891
2691	22754	500	373	0.3783783783783784
34913	28074	744	333	0.3142857142857143
24285	4519	452	688	0.3076923076923077
33158	22362	826	507	0.5
829	27528	1531	485	0.32558139534883723
32125	6916	316	468	0.23076923076923078
28411	23736	1244	505	0.22826086956521738
30129	10026	448	341	0.46153846153846156
28540	11543	645	1320	0.1941747572815534
34193	17700	264	631	0.2459016393442623
31686	30465	759	356	0.3
28545	17589	685	192	0.3157894736842105
21122	16088	356	505	0.23076923076923078
5679	18279	628	566	0.4
29543	15981	237	194	0.4444444444444444
30455	24837	337	260	0.43478260869565216
22046	1880	721	260	0.3142857142857143
32394	21300	1502	501	0.5
11917	31952	1474	502	0.2463768115942029
13901	23253	556	1348	0.16279069767441862
16931	22304	444	531	0.3125
18327	18105	820	363	0.24074074074074073
665	33857	1323	1041	0.3783783783783784
12521	5610	332	272	0.21370967741935484
15817	26635	365	494	0.36
32019	15749	654	1508	0.28125
31201	32166	754	543	0.2727272727272727
29371	1130	515	1329	0.4166666666666667
6098	19283	655	365	0.3958333333333333
14522	26502	802	1329	0.3333333333333333
15945	20067	556	1259	0.25925925925925924
24184	31015	1517	277	0.5
34794	22528	727	547	0.36
27885	21678	499	265	0.4166666666666667
23056	29736	657	567	0.3392857142857143
17754	20094	453	491	0.9017632241813602
16475	15108	292	505	0.22972972972972974
7907	12621	299	394	0.29411764705882354
20679	7835	350	393	0.2222222222222222
12133	12552	412	293	0.36363636363636365
14180	31732	293	620	0.6153846153846154
18120	34382	232	879	0.28
18546	6588	271	516	0.25
12721	19414	1285	555	0.2826086956521739
14908	23650	556	927	0.35294117647058826
11759	19809	333	729	0.2972972972972973
927	35005	530	573	0.1956521739130435
8295	17977	423	1510	0.32727272727272727
2982	3573	483	522	0.23826714801444043
19145	8275	496	513	0.2727272727272727
32170	6723	418	533	0.40540540540540543
803	18634	483	311	0.2826086956521739
30762	31373	312	791	0.3076923076923077
28866	22328	479	551	0.3191489361702128
12082	3367	536	1642	0.2289156626506024
16546	31308	1306	277	0.225
7476	4282	413	312	0.2647058823529412
26260	32227	1338	346	0.23333333333333334
4855	3513	270	463	0.26136363636363635
9943	9777	1338	458	0.22660098522167488
19912	5582	1230	1291	0.2413793103448276
16265	7762	394	583	0.4989517819706499
27274	14790	350	320	0.5555555555555556
34247	24928	772	1355	0.2619047619047619
29524	29014	1475	1394	0.4444444444444444
19487	28103	1328	532	0.25862068965517243
20013	3947	293	261	0.35714285714285715
6503	13617	631	191	0.3181818181818182
13829	17343	556	353	0.4666666666666667
5320	10292	434	404	0.35294117647058826
15719	11391	448	1542	0.2361111111111111
4919	10258	320	709	0.35294117647058826
175	26772	260	323	0.3076923076923077
29524	30796	1475	1318	0.3448275862068966
19087	2139	1222	379	0.2982456140350877
15170	18881	163	1257	0.27692307692307694
18528	29755	1326	539	0.3125
4664	15297	476	165	0.5454545454545454
17337	12964	332	231	0.2122905027932961
27861	7521	578	538	0.5555555555555556
14733	9764	536	477	0.35
17408	9321	513	875	0.23529411764705882
4679	3908	463	238	0.2962962962962963
10873	20159	293	1337	0.24324324324324326
18914	28780	736	254	0.29535864978902954
8149	30716	411	289	0.3333333333333333
19928	26378	1325	1340	0.23083264633140974
17841	32798	238	900	0.21428571428571427
32361	28688	261	469	0.25
5271	2612	570	479	0.24285714285714285
28313	21123	466	276	0.2916666666666667
16408	1695	365	1109	0.19318181818181818
5985	15002	597	505	0.1686746987951807
1359	17662	881	596	0.3333333333333333
2636	11481	507	585	0.358974358974359
30834	34010	563	486	0.46153846153846156
28981	18229	343	487	0.42857142857142855
11894	28566	867	355	0.26666666666666666
32225	5979	128	529	0.7142857142857143
30802	22803	1492	260	0.21238938053097345
26761	21843	429	1321	0.5294117647058824
21040	6855	481	475	0.4444444444444444
10539	21614	621	534	0.25
26977	32471	555	574	0.35714285714285715
18888	26244	639	317	0.2676056338028169
2404	29807	717	464	0.23423423423423423
5771	20612	555	221	0.2692307692307692
16541	21186	1510	431	0.25
7597	26488	522	865	0.30434782608695654
33724	75	300	590	0.21875
30276	27082	410	373	0.34210526315789475
3552	12293	509	1126	0.2641509433962264
33976	23709	570	600	0.3076923076923077
32669	28969	525	566	0.36363636363636365
3382	13340	294	448	0.2727272727272727
17501	8586	1319	509	0.2641509433962264
18876	28712	611	859	0.5714285714285714
31766	7957	340	1547	0.2982456140350877
1891	15682	320	538	0.36666666666666664
10379	20365	439	653	0.36585365853658536
896	26738	515	1325	0.26666666666666666
6108	14725	361	521	0.265625
7435	30241	479	268	0.3181818181818182
7698	10090	550	1066	0.2736842105263158
32661	19127	313	652	0.34615384615384615
33349	17919	1107	293	0.42105263157894735
27229	31621	260	1274	0.32075471698113206
30947	15973	485	394	0.5454545454545454
29935	9479	1554	553	0.20454545454545456
25138	12491	724	1509	0.625
33308	8946	283	519	0.3125
4575	18104	345	165	0.3333333333333333
27193	22274	845	1309	0.3
33275	17509	756	165	0.3333333333333333
168	18536	497	396	0.36363636363636365
19566	32089	728	326	0.3
9738	29264	618	353	0.32727272727272727
31741	22618	398	473	0.2
21786	24720	1251	522	0.34782608695652173
29841	21088	514	1527	0.21929824561403508
12363	15650	265	1332	0.36363636363636365
25098	15306	1236	1330	0.246218487394958
26920	2860	501	1325	0.3548387096774194
20852	30996	1106	737	0.47368421052631576
24984	25302	424	598	0.27419354838709675
9968	32461	703	528	0.391304347826087
2426	8273	341	483	0.22916666666666666
32918	21757	1020	520	0.22448979591836735
6577	28855	345	501	0.3684210526315789
6534	34468	855	561	0.28
29945	1005	680	528	0.3333333333333333
9447	26868	345	509	0.22727272727272727
10116	4903	298	672	0.25
30768	17368	521	497	0.36666666666666664
22187	26049	341	326	0.2608695652173913
5263	21532	429	396	0.5218446601941747
34971	24904	771	396	0.2857142857142857
20752	31978	1247	532	0.3333333333333333
2352	4484	1147	555	0.2708333333333333
15385	18833	425	517	0.7142857142857143
14908	5923	556	251	0.36
28440	6451	571	1521	0.44
6586	29076	405	631	0.3055555555555556
10902	19625	261	845	0.20833333333333334
1897	3014	292	221	0.4666666666666667
21258	3677	356	361	0.3
19226	23492	1267	245	0.3076923076923077
24565	28225	647	653	0.21818181818181817
9540	16003	865	292	0.3181818181818182
34810	27004	807	593	0.3888888888888889
11800	11140	427	296	0.2972972972972973
11473	5175	558	375	0.25806451612903225
25070	15783	349	692	0.2765957446808511
32615	9379	277	395	0.3684210526315789
15216	30221	1333	506	0.38461538461538464
16644	30118	521	292	0.325
16733	615	319	371	0.3333333333333333
30490	18850	480	986	0.26666666666666666
10353	4840	277	524	0.42857142857142855
28949	22646	516	312	0.3076923076923077
19605	27807	344	398	0.5
16390	29939	290	523	0.32558139534883723
19799	13055	1325	453	0.21153846153846154
25211	31667	491	735	0.20754716981132076
6989	15545	539	191	0.5
24993	23524	557	375	0.3611111111111111
19390	19348	497	345	0.2962962962962963
1437	25939	562	884	0.6
17988	530	362	192	0.3125
3214	32553	419	392	0.22727272727272727
18756	15081	505	1509	0.21296296296296297
23089	14352	266	1307	0.45
12460	16425	191	192	0.6010362694300518
8963	6367	458	499	0.2631578947368421
2583	20246	363	346	0.25
28889	2186	294	1359	0.27040816326530615
23911	8612	497	367	0.2127659574468085
5906	19340	434	443	0.44
21411	27230	474	513	0.6666666666666666
11510	13159	342	505	0.2553191489361702
8661	23976	1327	566	0.32
34789	32885	851	306	0.3055555555555556
17860	10783	518	1312	0.5714285714285714
16840	31578	276	533	0.21568627450980393
19342	22198	520	897	0.45454545454545453
7547	30692	579	182	0.4117647058823529
4934	9224	542	1320	0.23595505617977527
14785	26044	793	1297	0.25806451612903225
23971	5918	564	505	0.19491525423728814
25858	912	552	1303	0.24719101123595505
17331	8099	540	507	0.42105263157894735
29804	24155	894	1382	0.25757575757575757
17181	24970	840	345	0.24528301886792453
24344	7100	252	1256	0.34615384615384615
15323	30898	484	1304	0.2261904761904762
1640	21496	516	568	0.46153846153846156
14507	4142	263	277	0.32142857142857145
30426	19804	619	275	0.2692307692307692
26758	7646	370	490	0.3235294117647059
9160	2971	505	167	0.2866666666666667
2438	19946	262	447	0.5454545454545454
32284	7610	542	351	0.2641509433962264
6369	15387	227	394	0.3404255319148936
8890	25470	487	256	0.32608695652173914
29729	24314	475	859	0.5
27467	10126	1254	790	0.21739130434782608
27189	6489	869	473	0.6428571428571429
32069	26746	666	351	0.5714285714285714
18333	2144	1467	447	0.30952380952380953
24283	14238	628	292	0.3064516129032258
29057	29143	837	554	0.2857142857142857
15473	23768	497	1215	0.3548387096774194
6511	24073	312	317	0.38461538461538464
23506	3968	1424	542	0.225
26092	18080	866	631	0.24358974358974358
12439	8005	325	505	0.4
29800	6007	411	449	0.48
13900	1399	529	522	0.19696969696969696
3314	21856	420	510	0.27122641509433965
15962	8252	630	349	0.25287356321839083
13448	4496	318	356	0.5171232876712328
13576	14152	365	292	0.2909090909090909
15269	21532	164	396	0.5
9670	185	520	569	0.3448275862068966
18171	9482	521	865	0.2641509433962264
8519	16426	260	448	0.38095238095238093
11435	7204	398	421	0.46153846153846156
1689	8637	499	681	0.2708333333333333
973	23477	1333	730	0.2909090909090909
15593	21218	556	566	0.2261904761904762
1034	11419	562	503	0.2894736842105263
17391	3434	613	299	0.28846153846153844
8307	27588	1295	221	0.46153846153846156
34477	7448	555	404	0.30434782608695654
4165	31211	568	555	0.35294117647058826
29378	23726	515	508	0.2248995983935743
33635	7146	1020	301	0.6363636363636364
29622	33019	456	274	0.2702702702702703
14519	2841	448	615	0.3103448275862069
34173	19767	930	320	0.28846153846153844
30018	2041	404	558	0.4583333333333333
3986	31390	656	381	0.2923076923076923
26320	27936	458	533	0.38461538461538464
7075	32130	445	406	0.42105263157894735
29069	4816	589	882	0.24615384615384617
5294	21109	1260	933	0.24193548387096775
9721	4304	260	513	0.3225806451612903
8270	18023	851	505	0.42857142857142855
21311	24962	461	458	0.75
34770	19326	298	1264	0.45
29734	33131	542	360	0.3181818181818182
28193	6499	615	767	0.375
7498	14091	327	244	0.3125
28185	29593	626	456	0.2765957446808511
14974	27119	154	1129	0.25806451612903225
22212	29720	520	528	0.28125
26131	27262	1356	342	0.2727272727272727
6231	20483	476	508	0.2375
27968	20481	558	501	0.2727272727272727
16704	24530	306	441	0.24390243902439024
10003	31081	445	258	0.2564102564102564
4399	5978	694	335	0.2830188679245283
5594	6109	1285	334	0.2702702702702703
28303	6328	478	508	0.2457627118644068
24421	8527	394	458	0.625
3930	21603	271	527	0.42857142857142855
8010	26922	498	849	0.27906976744186046
23173	27717	1045	851	0.4230769230769231
3371	18850	923	986	0.2542372881355932
20476	23045	487	413	0.3191489361702128
6789	33253	392	357	0.16363636363636364
13942	10140	301	512	0.4074074074074074
31600	14696	373	332	0.5
7092	22945	1324	330	0.25
24088	7529	1502	391	0.3389830508474576
18256	14821	317	332	0.45454545454545453
28122	1720	420	273	0.34782608695652173
17527	1897	365	292	0.29411764705882354
11823	17909	1252	232	0.3235294117647059
20249	22270	1287	1478	0.3442892358258012
23004	400	493	174	0.35294117647058826
11888	9388	1392	331	0.3111111111111111
26265	4560	846	543	0.2366412213740458
9297	2009	383	256	0.5
6013	34765	222	551	0.3333333333333333
14098	24654	1310	561	0.2328767123287671
27514	29730	664	536	0.21348314606741572
22340	10315	1330	863	0.225
24251	20423	394	225	0.36363636363636365
21258	5567	356	555	0.32142857142857145
3447	10196	509	1326	0.25882352941176473
10316	3261	504	398	0.2727272727272727
5346	17832	277	1276	0.3142857142857143
29039	27788	375	377	0.38461538461538464
31828	28969	547	566	0.3
27143	17902	518	853	0.7142857142857143
14127	33577	825	588	0.34375
7459	22621	257	420	0.4074074074074074
28174	7267	559	507	0.2222222222222222
18562	31891	377	471	0.5
34533	20212	785	365	0.4666666666666667
2976	14451	1477	362	0.34375
25903	3590	838	515	0.36666666666666664
503	13397	162	1509	0.38235294117647056
19753	13843	845	243	0.35294117647058826
8993	16745	515	592	0.2462686567164179
18969	21503	451	529	0.5460674157303371
7863	506	1227	1324	0.6436213991769547
32596	28223	250	1351	0.21428571428571427
11514	8466	530	724	0.4
24917	34903	658	935	0.22105263157894736
15080	32785	328	343	0.45454545454545453
23210	4723	1226	694	0.2692307692307692
26022	2772	1080	1317	0.20833333333333334
28588	1228	556	487	0.391304347826087
30130	5102	1363	571	0.3157894736842105
20516	28133	663	261	0.3157894736842105
26504	27373	538	543	0.647834274952919
18973	7548	540	374	0.3548387096774194
26544	1366	343	345	0.8
21284	11263	599	401	0.5
30152	23714	1283	348	0.22727272727272727
5775	28620	316	674	0.22950819672131148
6937	15945	1193	556	0.2413793103448276
28552	26243	1305	1307	0.6854961832061068
34338	5154	225	1215	0.5
25936	20334	350	538	0.3333333333333333
22250	14520	1313	1333	0.6717674062739097
21827	11018	1274	468	0.30952380952380953
5005	33455	569	786	0.47058823529411764
7472	34773	513	805	0.3076923076923077
33420	12707	178	362	0.2564102564102564
22896	23009	473	862	0.2328767123287671
9679	15484	1465	453	0.4117647058823529
6737	9597	244	1241	0.32
16775	12928	252	522	0.3181818181818182
11370	10018	420	419	0.24050632911392406
4938	11609	261	335	0.2391304347826087
32382	30405	670	516	0.3235294117647059
29419	21181	541	382	0.29508196721311475
20718	9893	747	374	0.2323943661971831
28820	4475	1320	584	0.36666666666666664
30731	28980	553	365	0.225
19845	18001	1348	448	0.21311475409836064
3681	23064	503	1187	0.5263157894736842
33248	4862	713	196	0.43478260869565216
20342	30260	303	509	0.375
29616	2464	456	407	0.25625
3728	24165	344	533	0.42105263157894735
18813	5028	260	494	0.28
5917	33231	479	481	0.2727272727272727
25197	30324	859	515	0.22794117647058823
2688	29473	534	493	0.5
12336	21071	643	457	0.391304347826087
31170	32857	503	219	0.5333333333333333
9886	4054	293	453	0.29577464788732394
29525	6783	403	447	0.25
22507	5526	718	554	0.3150684931506849
33066	11308	147	357	0.23214285714285715
2565	16236	821	642	0.35
28688	28797	469	410	0.2857142857142857
34345	34258	193	295	0.4375
10403	23848	499	1416	0.3333333333333333
24435	18539	345	547	0.3125
25389	26789	334	567	0.4444444444444444
22175	3431	488	483	0.21311475409836064
21931	4319	463	429	0.32
21606	6193	524	223	0.23076923076923078
25333	18621	1062	832	0.3333333333333333
16514	9854	448	1236	0.1774193548387097
21847	5341	1221	506	0.21761658031088082
9268	22925	645	648	0.25862068965517243
20331	25687	1328	410	0.34375
8450	5552	492	506	0.35
20288	24686	731	292	0.38095238095238093
21527	8375	255	668	0.3181818181818182
34497	6124	936	396	0.3235294117647059
27748	33324	256	341	0.3103448275862069
23712	1194	348	505	0.225
23763	20241	349	528	0.3888888888888889
11813	14037	1253	220	0.28
22395	31868	762	497	0.4117647058823529
12583	14846	292	365	0.2909090909090909
9015	10154	1247	530	0.23076923076923078
5057	19385	585	695	0.23076923076923078
6628	33271	349	1020	0.2903225806451613
34506	2473	283	260	0.34615384615384615
22070	8588	344	1469	0.29069767441860467
24688	10109	1439	295	0.34782608695652173
10633	11851	503	515	0.38235294117647056
10848	28683	256	316	0.5555555555555556
2863	26926	466	353	0.391304347826087
23874	15566	509	220	0.24444444444444444
29111	18673	323	388	0.24324324324324326
29420	15335	465	394	0.3448275862068966
34996	15674	664	245	0.22807017543859648
20281	30737	598	522	0.512087912087912
12715	24106	271	483	0.6666666666666666
28874	30256	487	1666	0.29411764705882354
18466	25026	422	282	0.2727272727272727
32958	34567	267	359	0.34782608695652173
27437	10620	408	475	0.42857142857142855
13087	9070	451	401	0.25
16384	3419	1328	529	0.28125
31495	24327	516	531	0.24444444444444444
6723	33810	533	209	0.34210526315789475
8170	18681	363	365	0.42857142857142855
5496	10506	501	369	0.4
17877	29446	505	515	0.3
33643	9656	992	585	0.47619047619047616
28670	6010	455	360	0.36363636363636365
14551	29565	1508	528	0.24761904761904763
22910	1747	445	292	0.46153846153846156
27190	3490	520	675	0.26666666666666666
25982	32899	535	1300	0.42857142857142855
24507	15451	479	293	0.2857142857142857
25307	5348	1326	464	0.5714285714285714
24570	14715	1217	292	0.24107142857142858
1847	20885	292	486	0.2894736842105263
6493	21973	503	330	0.38461538461538464
9571	9017	1330	1159	0.3310104529616725
2510	18800	473	577	0.4117647058823529
30962	9095	417	516	0.3114754098360656
30743	29399	372	465	0.2702702702702703
344	5192	271	570	0.2608695652173913
1245	16772	495	478	0.7095435684647303
14133	9798	213	458	0.7156398104265402
34588	27738	437	298	0.625
7286	18881	1321	1257	0.25258964143426293
15573	19736	226	1315	0.2553191489361702
7985	3129	516	507	0.22244897959183674
15626	27513	192	1279	0.2608695652173913
29957	4116	555	501	0.21296296296296297
7265	32756	499	265	0.2558139534883721
1077	33775	1027	110	0.2857142857142857
15855	9409	362	583	0.32
19088	28130	815	1152	0.6036745406824147
102	23122	412	1252	0.25
15765	27300	228	542	0.2571428571428571
12275	5610	921	272	0.36
34307	23632	777	440	0.43478260869565216
4435	34475	405	788	0.2631578947368421
33248	33267	713	774	0.35294117647058826
1332	25588	914	1344	0.28
30810	2853	375	666	0.47058823529411764
25354	24464	255	730	0.3076923076923077
16623	1064	754	483	0.37037037037037035
23402	4427	1255	345	0.3023255813953488
22596	15802	408	524	0.3076923076923077
6793	21791	833	509	0.35
8743	2905	300	1545	0.25
