accession	protein_names	gene_names	organism	cluster	n_substrates	mean_tanimoto	median_tanimoto	std_tanimoto	min_tanimoto	max_tanimoto
A0A671EHE5	Hedgehog protein	IHH mRhiFer1_006744	Rhinolophus ferrumequinum (Greater horseshoe bat)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A671FG42	Hedgehog protein	SHH mRhiFer1_015253	Rhinolophus ferrumequinum (Greater horseshoe bat)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A674HUV4	Hedgehog protein	SHH	Terrapene triunguis (Three-toed box turtle)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A6I8PLX7	Hedgehog protein	SHH	Ornithorhynchus anatinus (Duckbill platypus)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A6I9KW44	Hedgehog protein	Ihh	Peromyscus maniculatus bairdii (Prairie deer mouse)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A6I9M1I7	Hedgehog protein	Shh	Peromyscus maniculatus bairdii (Prairie deer mouse)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A6J2BCY7	Hedgehog protein	SHH	Zalophus californianus (California sealion)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A6J2MQ69	Hedgehog protein	SHH	Phyllostomus discolor (pale spear-nosed bat)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A6J3CKI1	Hedgehog protein	SHH	Aythya fuligula (Tufted duck) (Anas fuligula)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A6J3F5P9	Hedgehog protein	SHH	Sapajus apella (Brown-capped capuchin) (Cebus apella)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A6P3EQH3	Hedgehog protein	Shh	Octodon degus (Degu) (Sciurus degus)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A6P3FIE7	Hedgehog protein	Ihh	Octodon degus (Degu) (Sciurus degus)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A6P5LJV6	Hedgehog protein	IHH	Phascolarctos cinereus (Koala)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A6P5M5Z2	Hedgehog protein	SHH	Phascolarctos cinereus (Koala)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A6P5PQE8	Hedgehog protein	Shh	Mus caroli (Ryukyu mouse) (Ricefield mouse)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A6P5PYU1	Hedgehog protein	Ihh	Mus caroli (Ryukyu mouse) (Ricefield mouse)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A7J7E6X5	Hedgehog protein	HPG69_004354	Diceros bicornis minor (South-central black rhinoceros)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A7J7RLW1	Hedgehog protein	mMyoMyo1_017438	Myotis myotis (Greater mouse-eared bat) (Vespertilio myotis)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A7J8D8I2	Hedgehog protein	HJG63_017556	Rousettus aegyptiacus (Egyptian fruit bat) (Pteropus aegyptiacus)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A7J8HDC5	Hedgehog protein	HJG59_016479	Molossus molossus (Pallas' mastiff bat) (Vespertilio molossus)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A7K4JM05	Hedgehog protein	Shh GEOCAL_R07201	Geococcyx californianus (Greater roadrunner) (Saurothera californiana)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A7K4RXE9	Hedgehog protein	Shh COLPIC_R07971	Columbina picui (Picui ground-dove)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A7K5XNB8	Hedgehog protein	Shh DROARD_R06481	Dromas ardeola	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A7K5Y8P1	Hedgehog protein	Shh PTEBUR_R12261	Pterocles burchelli	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A7K6SUS6	Hedgehog protein	Shh CALNIC_R03592	Caloenas nicobarica (Nicobar pigeon)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A7K6YGH3	Hedgehog protein	Shh ALCTOR_R03772	Alca torda (Razorbill)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A7K7KZJ1	Hedgehog protein	Shh ASASCU_R02472	Asarcornis scutulata	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A7K8U528	Hedgehog protein	Shh OCEOCE_R10319	Oceanites oceanicus (Wilson's storm petrel) (Procellaria oceanica)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A7K9G136	Hedgehog protein	Shh STEPAR_R06135	Stercorarius parasiticus (Parasitic jaeger) (Arctic skua)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A7K9X6B4	Hedgehog protein	Shh PSOCRE_R04203	Psophia crepitans (common trumpeter)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A7L0FF47	Hedgehog protein	Shh CORCON_R13078	Corythaixoides concolor (Grey go-away-bird)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A7L0P6D1	Hedgehog protein	Shh MESCAY_R04185	Mesembrinibis cayennensis	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A7L1K2T6	Hedgehog protein	Shh RYNNIG_R02795	Rynchops niger (Black skimmer)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A7L1XPD2	Hedgehog protein	Shh THIORB_R03846	Thinocorus orbignyianus	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A7L2UAU7	Hedgehog protein	Shh BALREX_R12020	Balaeniceps rex (Shoebill)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A7L2YMZ4	Hedgehog protein	Shh JACJAC_R01169	Jacana jacana (Wattled jacana) (Parra jacana)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A7L3B3K4	Hedgehog protein	Shh SYRPAR_R09180	Syrrhaptes paradoxus (Pallas's sandgrouse)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A7L3C111	Hedgehog protein	Shh PELURI_R04201	Pelecanoides urinatrix (Common diving petrel) (Procellaria urinatrix)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A7L3RB09	Hedgehog protein	Shh CEPGRY_R01062	Cepphus grylle (Black guillemot) (Alca grylle)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A7L3SI56	Hedgehog protein	Shh RISTRI_R10778	Rissa tridactyla (Black-legged kittiwake) (Larus tridactyla)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A7L3TQA0	Hedgehog protein	Shh URIAAL_R10188	Uria aalge (Common mure) (Colymbus aalge)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A7L3WQB1	Hedgehog protein	Shh ATLROG_R10129	Atlantisia rogersi (Inaccessible Island rail)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A7L3XMV8	Hedgehog protein	Shh CALBOR_R09677	Calonectris borealis (Cory's shearwater)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A7L3Z4L4	Hedgehog protein	Shh FREGRA_R11489	Fregetta grallaria (White-bellied storm-petrel) (Procellaria grallaria)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A7L4FRE8	Hedgehog protein	Shh ALOBEC_R03982	Pampusana beccarii (Western bronze ground-dove)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A7L4M3L9	Hedgehog protein	Shh GLAPRA_R12490	Glareola pratincola (Collared pratincole) (Hirundo pratincola)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A7M4FU17	Hedgehog protein	SHH	Crocodylus porosus (Saltwater crocodile) (Estuarine crocodile)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A7N5KQ61	Hedgehog protein	IHH	Ailuropoda melanoleuca (Giant panda)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A811YS29	Hedgehog protein	NYPRO_LOCUS13175	Nyctereutes procyonoides (Raccoon dog) (Canis procyonoides)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A850XDL2	Hedgehog protein	Shh PIACAY_R02360	Piaya cayana (Common squirrel cuckoo)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A851AN24	Hedgehog protein	Shh SULDAC_R00964	Sula dactylatra (Masked booby)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A851NYF2	Hedgehog protein	Shh PENPIL_R10388	Penelope pileata	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A8B7AVN4	Hedgehog protein	SHH	Orycteropus afer afer	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A8B7EN51	Hedgehog protein	IHH	Microcebus murinus (Gray mouse lemur) (Lemur murinus)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A8B7SRE3	Hedgehog protein	SHH	Hipposideros armiger (Great Himalayan leaf-nosed bat)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A8B7WHM7	Hedgehog protein	Shh	Castor canadensis (American beaver)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A8B8T9I5	Hedgehog protein	SHH	Camelus ferus (Wild bactrian camel) (Camelus bactrianus ferus)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A8B8YAI0	Hedgehog protein	SHH	Balaenoptera musculus (Blue whale)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A8B9CR19	Hedgehog protein	SHH	Anser brachyrhynchus (Pink-footed goose)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A8B9ETJ5	Hedgehog protein	SHH	Anser cygnoides (Swan goose)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A8B9F5V4	Hedgehog protein		Amazona collaria (yellow-billed parrot)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A8B9US29	Hedgehog protein		Anas zonorhyncha (Eastern spot-billed duck)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A8B9X7M0	Hedgehog protein	SHH	Bos mutus grunniens (Wild yak) (Bos grunniens)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A8C0H632	Hedgehog protein	SHH	Chelonoidis abingdonii (Abingdon island giant tortoise) (Testudo abingdonii)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A8C0HSK8	Hedgehog protein	IHH	Balaenoptera musculus (Blue whale)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A8C0JX79	Hedgehog protein	SHH	Canis lupus dingo (dingo)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A8C0JXL5	Hedgehog protein	SHH	Canis lupus dingo (dingo)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A8C0R8T9	Hedgehog protein	IHH	Canis lupus dingo (dingo)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A8C0WH26	Hedgehog protein	Ihh	Castor canadensis (American beaver)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A8C2VG06	Hedgehog protein	IHH	Chinchilla lanigera (Long-tailed chinchilla) (Chinchilla villidera)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A8C3BDH1	Hedgehog protein		Cairina moschata (Muscovy duck)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A8C3HZ65	Hedgehog protein	SHH	Chrysemys picta bellii (Western painted turtle) (Emys bellii)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A8C3JEX4	Hedgehog protein		Calidris pygmaea (Spoon-billed sandpiper)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A8C3W2N0	Hedgehog protein	SHH	Catagonus wagneri (Chacoan peccary)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A8C3X4R7	Hedgehog protein	IHH	Catagonus wagneri (Chacoan peccary)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A8C4JLE0	Hedgehog protein	SHH	Dromaius novaehollandiae (Emu)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A8C4WL43	Hedgehog protein	SHH	Gopherus evgoodei (Goodes thornscrub tortoise)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A8C5K5G8	Hedgehog protein	Ihh	Jaculus jaculus (Lesser Egyptian jerboa)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A8C5XJH9	Hedgehog protein	SHH	Microcebus murinus (Gray mouse lemur) (Lemur murinus)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A8C6A1E3	Hedgehog protein	IHH	Marmota marmota marmota (Alpine marmot)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A8C6E184	Hedgehog protein	IHH	Moschus moschiferus (Siberian musk deer) (Moschus sibiricus)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A8C6FJ96	Hedgehog protein	SHH	Moschus moschiferus (Siberian musk deer) (Moschus sibiricus)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A8C6HGW0	Hedgehog protein		Mus spicilegus (Mound-building mouse)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A8C6RYG7	Hedgehog protein	Ihh	Nannospalax galili (Northern Israeli blind subterranean mole rat) (Spalax galili)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A8C6S2V1	Hedgehog protein	Shh	Nannospalax galili (Northern Israeli blind subterranean mole rat) (Spalax galili)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A8C6S2V2	Hedgehog protein	Shh	Nannospalax galili (Northern Israeli blind subterranean mole rat) (Spalax galili)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A8C7C148	Hedgehog protein	IHH	Neovison vison (American mink) (Mustela vison)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A8C8RYK3	Hedgehog protein		Pelusios castaneus (West African mud turtle)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A8C8WK42	Hedgehog protein	SHH	Panthera leo (Lion)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A8C8XU50	Hedgehog protein	IHH	Panthera leo (Lion)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A8C8YP25	Hedgehog protein	SHH	Prolemur simus (Greater bamboo lemur) (Hapalemur simus)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A8C9BU10	Hedgehog protein	SHH	Phocoena sinus (Vaquita)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A8C9DVH2	Hedgehog protein	IHH	Prolemur simus (Greater bamboo lemur) (Hapalemur simus)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A8C9IU73	Hedgehog protein		Piliocolobus tephrosceles (Ugandan red Colobus)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A8C9SRN3	Hedgehog protein	SHH	Scleropages formosus (Asian bonytongue) (Osteoglossum formosum)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A8C9UYN0	Hedgehog protein	SHH	Scleropages formosus (Asian bonytongue) (Osteoglossum formosum)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A8D2CMK9	Hedgehog protein	SHH	Sciurus vulgaris (Eurasian red squirrel)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A8D2D2D4	Hedgehog protein	IHH	Sciurus vulgaris (Eurasian red squirrel)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A8D2HHQ6	Hedgehog protein	IHH	Urocitellus parryii (Arctic ground squirrel) (Spermophilus parryii)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A8D2HMK2	Hedgehog protein	SHH	Urocitellus parryii (Arctic ground squirrel) (Spermophilus parryii)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A8D2JXD1	Hedgehog protein		Theropithecus gelada (Gelada baboon)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A8I3NRD7	Hedgehog protein	SHH	Canis lupus familiaris (Dog) (Canis familiaris)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A8I3WZF9	Hedgehog protein	SHH	Callithrix jacchus (White-tufted-ear marmoset) (Simia Jacchus)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A8J4L950	Hedgehog protein	SHH FQV12_0001968	Eudyptes chrysocome (Western rockhopper penguin) (Aptenodytes chrysocome)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A8J4UQJ6	Hedgehog protein	shh DAT39_001297	Clarias magur (Asian catfish) (Macropteronotus magur)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A8J6KTH7	Hedgehog protein	Shh LTLLF_145640	Microtus ochrogaster (Prairie vole)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A8J7NY49	Hedgehog protein	Shha_1 GTO95_0009723	Atractosteus spatula (Alligator gar) (Lepisosteus spatula)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A8U0SGC6	Hedgehog protein	SHH	Mustela putorius furo (European domestic ferret) (Mustela furo)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A8V1A9L0	Hedgehog protein	SHH	Gallus gallus (Chicken)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A9B0U0R1	Hedgehog protein	SHH	Chrysochloris asiatica (Cape golden mole)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A9D3XCQ6	Hedgehog protein	KIL84_010908	Mauremys mutica (yellowpond turtle)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A9J7FB01	Hedgehog protein	Ihh	Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A9L0IV18	Hedgehog protein	SHH	Equus asinus (Donkey) (Equus africanus asinus)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A9L0JJ35	Hedgehog protein	IHH	Equus asinus (Donkey) (Equus africanus asinus)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A9L0SVS9	Hedgehog protein	IHH	Equus caballus (Horse)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A9Q0EQR7	Hedgehog protein	NHX12_021855	Muraenolepis orangiensis (Patagonian moray cod)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A9Q1G8D7	Hedgehog protein	SKAU_G00073590	Synaphobranchus kaupii (Kaup's arrowtooth eel)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0AA40LJN6	Hedgehog protein	QTO34_004880	Cnephaeus nilssonii (Northern bat) (Eptesicus nilssonii)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0AA41MG60	Hedgehog protein	SUZIE_112595	Sciurus carolinensis (Eastern gray squirrel)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0AA41MYQ4	Hedgehog protein	SUZIE_158730	Sciurus carolinensis (Eastern gray squirrel)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0AAD4UA59	Hedgehog protein	MG293_006052	Ovis ammon polii	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0AAD5FDA9	Hedgehog protein	C0J50_4312	Silurus asotus (Amur catfish) (Parasilurus asotus)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0AAN7RYS4	Hedgehog protein	QYF61_002419	Mycteria americana (Wood stork)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0AAR2ISW4	Hedgehog protein		Pygocentrus nattereri (Red-bellied piranha)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0AAR2KAF2	Hedgehog protein		Pygocentrus nattereri (Red-bellied piranha)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0AAR2KUJ5	Hedgehog protein		Pygocentrus nattereri (Red-bellied piranha)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0AAU9ZI12	Hedgehog protein	Ihh PHOROB_LOCUS8866	Phodopus roborovskii (Roborovski's desert hamster) (Cricetulus roborovskii)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0AAV0A3M0	Hedgehog protein	Shh PHOROB_LOCUS14662	Phodopus roborovskii (Roborovski's desert hamster) (Cricetulus roborovskii)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0AAV7MAZ5	Hedgehog protein	NDU88_004761	Pleurodeles waltl (Iberian ribbed newt)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0AAW0J598	Hedgehog protein	U0070_004859	Myodes glareolus (Bank vole) (Clethrionomys glareolus)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A8IY37	Hedgehog protein	Shh	Suncus murinus (Asian house shrew) (Musk shrew)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
B3LV44	Protein hedgehog (EC 3.1.-.-) [Cleaved into: Protein hedgehog N-product]	hh GF18029	Drosophila ananassae (Fruit fly)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
B3P7F8	Protein hedgehog (EC 3.1.-.-) [Cleaved into: Protein hedgehog N-product]	hh GG12458	Drosophila erecta (Fruit fly)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
