accession	cluster	umap_1	umap_2	ec_full	ec_top_level	ec_subclass	ec_sub_subclass	protein_name_first_word	is_p450	cyp_family	cyp_subfamily	is_bsh	is_hsd	is_reductase	is_receptor	is_transporter	genus	species_binomial	length_aa	shannon_entropy	is_literature_recruited	has_ec	has_rhea
A0A034WG91	47.0	-2.7376649379730225	4.32795524597168					hydroxyacyl-CoA	False			False	False	True	False	False	Bactrocera	Bactrocera dorsalis	255	4.0139	0	False	True
A0A034WJ56	35.0	2.787097454071045	-2.423708915710449	1.1.1.62	1	1.1	1.1.1		False			False	True	True	False	True	Bactrocera	Bactrocera dorsalis	246	3.9755	0	True	True
A0A059AGX6	43.0	-1.783199429512024	14.003138542175291					alpha-hydroxysteroid	False			False	False	False	False	False	Eucalyptus	Eucalyptus grandis	485	4.1702	0	False	True
A0A059BVS8	43.0	-0.3489156663417816	14.946277618408203					alpha-hydroxysteroid	False			False	False	False	False	False	Eucalyptus	Eucalyptus grandis	480	4.1858	0	False	True
A0A059IZP5	94.0	12.05983829498291	10.92220401763916	1.14.14.154	1	1.14	1.14.14	sterol	False			False	False	False	False	False	Trichophyton	Trichophyton interdigitale	514	4.1948	0	True	True
A0A059J839	44.0	8.456402778625488	13.887277603149414	1.14.14.154	1	1.14	1.14.14	sterol	False			False	False	False	False	False	Trichophyton	Trichophyton interdigitale	527	4.1656	0	True	True
A0A060KPY0	70.0	8.389110565185547	2.980884075164795	1.1.1.62	1	1.1	1.1.1	hydroxyacyl-CoA	False			False	True	True	False	False	Panthera	Panthera tigris	261	3.9745	0	True	True
A0A060THG7	92.0	8.915366172790527	14.564038276672363					sterol	True			False	False	False	False	False	Blastobotrys	Blastobotrys adeninivorans	529	4.2122	0	False	True
A0A060VP01	23.0	9.00781536102295	5.092798233032227					Hormone-sensitive	False			False	False	False	False	False	Oncorhynchus	Oncorhynchus mykiss	708	4.1018	0	False	True
A0A060VP13	58.0	10.871018409729004	5.190134048461914					Hedgehog	False			False	False	False	False	False	Oncorhynchus	Oncorhynchus mykiss	419	4.1467	0	False	True
A0A060VRD9	35.0	3.2708356380462646	-2.936471462249756						False			False	True	True	False	True	Oncorhynchus	Oncorhynchus mykiss	252	4.0463	0	False	True
A0A060W0I4	58.0	11.125524520874023	5.659650802612305					Hedgehog	False			False	False	False	False	False	Oncorhynchus	Oncorhynchus mykiss	413	4.1675	0	False	True
A0A060WKQ1	4.0	1.7458120584487915	13.278352737426758					Lanosterol	False			False	False	False	False	False	Oncorhynchus	Oncorhynchus mykiss	502	4.1879	0	False	True
A0A060WSY4	4.0	1.6895073652267456	13.323359489440918					Lanosterol	False			False	False	False	False	False	Oncorhynchus	Oncorhynchus mykiss	502	4.2013	0	False	True
A0A060WUP0	86.0	-2.349116086959839	-6.661933422088623					ATP-binding	False			False	False	False	False	True	Oncorhynchus	Oncorhynchus mykiss	1907	4.0922	0	False	True
A0A060WWK2	61.0	9.91796588897705	-0.57377690076828					Carboxylic	False			False	False	False	False	False	Oncorhynchus	Oncorhynchus mykiss	552	4.151	0	False	True
A0A060WXJ2	61.0	9.805852890014648	0.1407560855150222					Carboxylic	False			False	False	False	False	False	Oncorhynchus	Oncorhynchus mykiss	549	4.132	0	False	True
A0A060X0W8	11.0	-4.008229732513428	11.825048446655272					Non-lysosomal	False			False	False	False	False	False	Oncorhynchus	Oncorhynchus mykiss	886	4.2251	0	False	True
A0A060X259	26.0	1.653176188468933	17.845991134643555					Cholesteryl	False			False	False	False	False	False	Oncorhynchus	Oncorhynchus mykiss	500	4.1382	0	False	True
A0A060XAM3	52.0	11.897910118103027	7.221293449401855					Ileal	False			False	False	False	False	True	Oncorhynchus	Oncorhynchus mykiss	372	4.0972	0	False	True
A0A060XH13	2.0	7.407119274139404	-3.4911580085754395					Cytochrome	True	CYP4	CYP4V	False	False	False	False	False	Oncorhynchus	Oncorhynchus mykiss	512	4.2011	0	False	True
A0A060XJX7	5.0	4.060832500457764	-10.534109115600586					Cystic	False			False	False	False	False	False	Oncorhynchus	Oncorhynchus mykiss	1366	4.1415	0	False	True
A0A060XN76	1.0	4.340945720672607	6.799486637115479					Hedgehog	False			False	False	False	False	False	Oncorhynchus	Oncorhynchus mykiss	442	4.1277	0	False	True
A0A060XSJ4	48.0	4.990520000457764	5.835838317871094					Hedgehog	False			False	False	False	False	False	Oncorhynchus	Oncorhynchus mykiss	421	4.1003	0	False	True
A0A060XUP5	37.0	11.314142227172852	-7.730426788330078					Bile	False			False	False	False	False	False	Oncorhynchus	Oncorhynchus mykiss	850	4.174	0	False	True
A0A060XUS8	1.0	4.363489151000977	6.814189910888672					Hedgehog	False			False	False	False	False	False	Oncorhynchus	Oncorhynchus mykiss	447	4.1471	0	False	True
A0A060Y2M9	15.0	12.858598709106444	8.833215713500977					Hepatic	False			False	False	False	False	True	Oncorhynchus	Oncorhynchus mykiss	284	3.9378	0	False	True
A0A060YET8	23.0	9.001801490783691	4.953484535217285					Hormone-sensitive	False			False	False	False	False	False	Oncorhynchus	Oncorhynchus mykiss	763	4.1303	0	False	True
A0A060YHB9	58.0	10.896502494812012	5.2512383460998535					Hedgehog	False			False	False	False	False	False	Oncorhynchus	Oncorhynchus mykiss	418	4.1496	0	False	True
A0A060YM89	18.0	3.6979167461395264	-5.463377952575684					Broad	False			False	False	False	False	True	Oncorhynchus	Oncorhynchus mykiss	572	4.1155	0	False	True
A0A060YSW3	48.0	5.103321075439453	5.488831996917725					Hedgehog	False			False	False	False	False	False	Oncorhynchus	Oncorhynchus mykiss	420	4.1498	0	False	True
A0A060YW61	58.0	11.079111099243164	5.659509181976318					Hedgehog	False			False	False	False	False	False	Oncorhynchus	Oncorhynchus mykiss	415	4.1606	0	False	True
A0A060Z9F8	25.0	-2.9499523639678955	16.954864501953125					Glucosylceramidase	False			False	False	False	False	False	Oncorhynchus	Oncorhynchus mykiss	256	4.0812	0	False	True
A0A061AQZ7	92.0	8.975593566894531	14.556962013244627	1.14.14.154	1	1.14	1.14.14	sterol	True			False	False	False	False	False	Cyberlindnera	Cyberlindnera fabianii	522	4.1905	0	True	True
A0A061DFW3	43.0	-1.7983393669128418	13.91419506072998	1.14.14.147	1	1.14	1.14.14	alpha-hydroxysteroid	False			False	False	False	False	False	Theobroma	Theobroma cacao	494	4.1604	0	True	True
A0A061GJ30	43.0	-0.2042239606380462	14.983994483947754	1.14.14.147	1	1.14	1.14.14	alpha-hydroxysteroid	False			False	False	False	False	False	Theobroma	Theobroma cacao	451	4.1708	0	True	True
A0A061HW32	23.0	8.809795379638672	4.631938457489014					Hormone-sensitive	False			False	False	False	False	False	Cricetulus	Cricetulus griseus	592	4.0339	0	False	True
A0A061HXL9	87.0	-1.4123347997665403	3.4008796215057373					hydroxyacyl-CoA	False			False	True	True	False	False	Cricetulus	Cricetulus griseus	273	3.9788	0	False	True
A0A061HZY3	18.0	2.4973599910736084	-5.371964454650879					Broad	False			False	False	False	False	True	Cricetulus	Cricetulus griseus	659	4.1292	0	False	True
A0A061I189	50.0	-4.786802768707275	6.6466498374938965					Branched-chain-amino-acid	False			False	False	True	False	False	Cricetulus	Cricetulus griseus	618	4.1031	0	False	True
A0A061I372	67.0	-5.066664218902588	-6.631472110748291					O-acyltransferase	False			False	False	False	False	False	Cricetulus	Cricetulus griseus	636	4.1753	0	False	True
A0A061I5A6	67.0	-5.071259021759033	-6.638364315032959					O-acyltransferase	False			False	False	False	False	False	Cricetulus	Cricetulus griseus	649	4.17	0	False	True
A0A061I9I4	27.0	14.436739921569824	11.312535285949709					Peroxisomal	False			False	False	False	False	False	Cricetulus	Cricetulus griseus	260	4.0771	0	False	True
A0A061IFI3	31.0	-6.487214088439941	8.831894874572754	4.2.1.107	4	4.2	4.2.1	Peroxisomal	False			False	True	True	False	False	Cricetulus	Cricetulus griseus	735	4.1282	0	True	True
A0A061IGU5	83.0	13.265830993652344	-9.718388557434082					Multidrug	False			False	False	False	False	True	Cricetulus	Cricetulus griseus	1282	4.1343	0	False	True
A0A061IL65	52.0	12.499517440795898	7.7773661613464355					Ileal	False			False	False	False	False	True	Cricetulus	Cricetulus griseus	516	4.1434	0	False	True
A0A061ILD1	10.0	13.335531234741213	-2.6850900650024414					RNA	False			False	False	False	False	False	Cricetulus	Cricetulus griseus	1763	4.1107	0	False	True
A0A061ILV4	35.0	4.526615619659424	-2.372077226638794	1.1.1.62	1	1.1	1.1.1		False			False	True	True	False	True	Cricetulus	Cricetulus griseus	259	3.9636	0	True	True
A0A061ILW2	51.0	-2.43099331855774	9.811203002929688					Solute	False			False	False	False	False	True	Cricetulus	Cricetulus griseus	539	4.0095	0	False	True
A0A061IMH9	4.0	1.35284686088562	12.97763729095459					Lanosterol	True			False	False	False	False	False	Cricetulus	Cricetulus griseus	376	4.1791	0	False	True
A0A061IMV3	51.0	-2.4856746196746826	9.899264335632324					Solute	False			False	False	False	False	True	Cricetulus	Cricetulus griseus	590	4.0269	0	False	True
A0A061ING3	83.0	13.27158260345459	-9.711743354797363					Multidrug	False			False	False	False	False	True	Cricetulus	Cricetulus griseus	1273	4.135	0	False	True
A0A067FD17	43.0	-0.7575826644897461	14.760151863098145	1.14.14.147	1	1.14	1.14.14	alpha-hydroxysteroid	False			False	False	False	False	False	Citrus	Citrus sinensis	497	4.156	0	True	True
A0A067FGN9	43.0	-0.7344158887863159	14.761918067932127	1.14.14.147	1	1.14	1.14.14	alpha-hydroxysteroid	False			False	False	False	False	False	Citrus	Citrus sinensis	472	4.1378	0	True	True
A0A067FQ45	43.0	-0.7493032217025757	14.743642807006836	1.14.14.147	1	1.14	1.14.14	alpha-hydroxysteroid	False			False	False	False	False	False	Citrus	Citrus sinensis	464	4.1367	0	True	True
A0A067FY18	43.0	-1.7787803411483765	13.979177474975586	1.14.14.147	1	1.14	1.14.14	alpha-hydroxysteroid	False			False	False	False	False	False	Citrus	Citrus sinensis	486	4.1527	0	True	True
A0A067K999	43.0	-1.73919939994812	14.056864738464355	1.14.14.147	1	1.14	1.14.14	alpha-hydroxysteroid	False			False	False	False	False	False	Jatropha	Jatropha curcas	491	4.1625	0	True	True
A0A067R1F2	47.0	-2.40234637260437	4.100211143493652	1.1.1.62	1	1.1	1.1.1	hydroxyacyl-CoA	False			False	False	True	False	False	Zootermopsis	Zootermopsis nevadensis	255	4.0251	0	True	True
A0A067R8L6	58.0	10.685603141784668	5.30208683013916					Hedgehog	False			False	False	False	False	False	Zootermopsis	Zootermopsis nevadensis	412	4.0991	0	False	True
A0A068BEQ2	35.0	4.594704627990723	-2.3889949321746826	1.1.1.62	1	1.1	1.1.1		False			False	True	True	False	True	Mus	Mus musculus	259	3.9595	0	True	True
A0A068F4C8	55.0	0.0715070366859436	-0.6313639283180237					Glucosylceramidase	False			False	False	False	False	False	Homo	Homo sapiens	398	4.1731	0	False	True
A0A068F579	16.0	0.4046018421649933	-0.905437171459198					Glucosylceramidase	False			False	False	False	False	False	Homo	Homo sapiens	481	4.1533	0	False	True
A0A068F658	16.0	0.5860625505447388	-1.3743339776992798					Glucosylceramidase	False			False	False	False	False	False	Homo	Homo sapiens	536	4.1771	0	False	True
A0A068F661	55.0	0.2157223671674728	-0.6023173928260803					Glucosylceramidase	False			False	False	False	False	False	Homo	Homo sapiens	314	4.131	0	False	True
A0A068F753	55.0	-0.0527249202132225	-0.3492055535316467					Glucosylceramidase	False			False	False	False	False	False	Homo	Homo sapiens	453	4.1929	0	False	True
A0A068FB60	16.0	1.0547415018081665	-1.0732181072235107					Glucosylceramidase	False			False	False	False	False	False	Homo	Homo sapiens	424	4.1621	0	False	True
A0A068FJH4	47.0	-2.6592283248901367	3.4380805492401123	1.1.1.62	1	1.1	1.1.1	hydroxyacyl-CoA	False			False	False	True	False	False	Agrotis	Agrotis segetum	255	3.9908	0	True	True
A0A068FMP4	47.0	-3.6746397018432617	4.264943599700928	1.1.1.62	1	1.1	1.1.1	hydroxyacyl-CoA	False			False	False	True	False	False	Agrotis	Agrotis segetum	255	4.073	0	True	True
A0A068GQB1	43.0	-1.3990684747695925	14.18239402770996	1.14.14.147	1	1.14	1.14.14	alpha-hydroxysteroid	False			False	False	False	False	False	Camelina	Camelina sativa	499	4.142	0	True	True
A0A068TNV2	43.0	-0.437410295009613	14.931918144226074	1.14.14.147	1	1.14	1.14.14	alpha-hydroxysteroid	False			False	False	False	False	False	Coffea	Coffea canephora	485	4.1693	0	True	True
A0A068U0U5	43.0	-1.7668675184249878	14.057021141052246	1.14.14.147	1	1.14	1.14.14	alpha-hydroxysteroid	False			False	False	False	False	False	Coffea	Coffea canephora	471	4.1436	0	True	True
A0A068WH62	23.0	7.648890972137451	5.325775623321533					Hormone-sensitive	False			False	False	False	False	False	Echinococcus	Echinococcus granulosus	824	4.1456	0	False	True
A0A068YIH2	23.0	7.648737907409668	5.323709964752197					Hormone-sensitive	False			False	False	False	False	False	Echinococcus	Echinococcus multilocularis	824	4.1431	0	False	True
A0A069DY28	47.0	-2.773190975189209	4.060148239135742	1.1.1.62	1	1.1	1.1.1	hydroxyacyl-CoA	False			False	False	True	False	False	Panstrongylus	Panstrongylus megistus	255	4.0621	0	True	True
A0A069DZ84	13.0	-4.459975242614746	-0.8351665139198303	2.3.1.176	2	2.3	2.3.1	Sterol	False			False	False	False	False	True	Panstrongylus	Panstrongylus megistus	542	4.1466	0	True	True
A0A072NYF6	22.0	0.6884646415710449	8.12950611114502	1.14.14.154	1	1.14	1.14.14	sterol	False			False	False	False	False	False	Exophiala	Exophiala aquamarina	539	4.1429	0	True	True
A0A072P885	44.0	8.55202865600586	12.963985443115234	1.14.14.154	1	1.14	1.14.14	sterol	False			False	False	False	False	False	Exophiala	Exophiala aquamarina	591	4.187	0	True	True
A0A072TLG7	43.0	-0.3304892778396606	14.949082374572754	1.14.14.147	1	1.14	1.14.14	alpha-hydroxysteroid	False			False	False	False	False	False	Medicago	Medicago truncatula	412	4.1493	0	True	True
A0A072TNC8	43.0	-0.2677115499973297	14.979183197021484	1.14.14.147	1	1.14	1.14.14	alpha-hydroxysteroid	False			False	False	False	False	False	Medicago	Medicago truncatula	474	4.172	0	True	True
A0A075M075	23.0	9.260578155517578	5.327233791351318					Hormone-sensitive	False			False	False	False	False	False	Tachysurus	Tachysurus fulvidraco	679	4.1354	0	False	True
A0A077ZAM7	48.0	5.984279632568359	6.900487422943115					Hedgehog	False			False	False	False	False	False	Trichuris	Trichuris trichiura	419	4.1682	0	False	True
A0A078HGM5	43.0	-1.1673794984817505	14.957045555114746	1.14.14.147	1	1.14	1.14.14	alpha-hydroxysteroid	False			False	False	False	False	False	Brassica	Brassica napus	492	4.1256	0	True	True
A0A078IP80	43.0	-1.1605758666992188	14.9319486618042	1.14.14.147	1	1.14	1.14.14	alpha-hydroxysteroid	False			False	False	False	False	False	Brassica	Brassica napus	492	4.1236	0	True	True
A0A078J804	43.0	-1.3607304096221924	14.183172225952148	1.14.14.147	1	1.14	1.14.14	alpha-hydroxysteroid	False			False	False	False	False	False	Brassica	Brassica napus	505	4.137	0	True	True
A0A078JHN7	43.0	-1.0182435512542725	14.246702194213867	1.14.14.147	1	1.14	1.14.14	alpha-hydroxysteroid	False			False	False	False	False	False	Brassica	Brassica napus	542	4.1667	0	True	True
A0A084VP42	61.0	11.42503547668457	0.9369275569915771	2.3.1.176	2	2.3	2.3.1	Sterol	False			False	False	False	False	True	Anopheles	Anopheles sinensis	544	4.1443	0	True	True
A0A084VZD1	47.0	-2.9308524131774902	4.479213714599609	1.1.1.62	1	1.1	1.1.1	hydroxyacyl-CoA	False			False	False	True	False	False	Anopheles	Anopheles sinensis	255	3.9651	0	True	True
A0A084W1Y8	35.0	2.8164403438568115	-2.4620702266693115	1.1.1.62	1	1.1	1.1.1		False			False	True	True	False	True	Anopheles	Anopheles sinensis	249	4.0097	0	True	True
A0A084W583	48.0	5.583380222320557	6.63385820388794					Hedgehog	False			False	False	False	False	False	Anopheles	Anopheles sinensis	440	4.1076	0	False	True
A0A085M3N9	48.0	5.98087739944458	6.892348766326904					Hedgehog	False			False	False	False	False	False	Trichuris	Trichuris suis	419	4.1832	0	False	True
A0A087BL81	68.0	12.264883041381836	20.4201774597168					Bile	False			True	False	False	False	False	Bifidobacterium	Bifidobacterium longum	317	4.158	0	False	True
A0A087GK63	43.0	-1.1198400259017944	14.170011520385742	1.14.14.147	1	1.14	1.14.14	alpha-hydroxysteroid	False			False	False	False	False	False	Arabis	Arabis alpina	526	4.149	0	True	True
A0A087H9B9	43.0	-1.0970789194107056	14.887145042419434	1.14.14.147	1	1.14	1.14.14	alpha-hydroxysteroid	False			False	False	False	False	False	Arabis	Arabis alpina	489	4.1093	0	True	True
A0A087QN79	26.0	2.0253584384918213	17.14047622680664					Cholesteryl	False			False	False	False	False	False	Aptenodytes	Aptenodytes forsteri	505	4.1113	0	False	True
A0A087QPA8	63.0	-9.857001304626465	2.7688450813293457					Solute	False			False	False	False	False	True	Aptenodytes	Aptenodytes forsteri	529	4.1336	0	False	True
A0A087QPL0	53.0	3.1820976734161377	15.00019073486328	1.1.1.201	1	1.1	1.1.1	beta-hydroxysteroid	False			False	True	True	False	False	Aptenodytes	Aptenodytes forsteri	292	4.0819	0	True	True
A0A087QPL1	7.0	9.747843742370604	6.974992275238037	1.1.1.201	1	1.1	1.1.1	beta-hydroxysteroid	False			False	True	True	False	False	Aptenodytes	Aptenodytes forsteri	245	4.0634	0	True	True
A0A087QQR0	12.0	9.814382553100586	3.223097085952759	1.1.1.170	1	1.1	1.1.1	Sterol-4-alpha-carboxylate	False			False	False	True	False	False	Aptenodytes	Aptenodytes forsteri	338	4.1567	0	True	True
A0A087QSU2	55.0	0.1094496101140976	0.3483592271804809					Glucosylceramidase	False			False	False	False	False	False	Aptenodytes	Aptenodytes forsteri	384	4.1895	0	False	True
A0A087QSU3	74.0	5.889176368713379	-2.0262813568115234					Glucosylceramidase	False			False	False	False	False	False	Aptenodytes	Aptenodytes forsteri	451	4.1638	0	False	True
A0A087QSU5	25.0	-2.1839818954467773	17.40746307373047					Glucosylceramidase	False			False	False	False	False	False	Aptenodytes	Aptenodytes forsteri	161	4.1087	0	False	True
A0A087QSU6	68.0	9.392659187316896	17.834331512451172					Glucosylceramidase	False			False	False	False	False	False	Aptenodytes	Aptenodytes forsteri	192	4.1375	0	False	True
A0A087QTL3	76.0	9.64645004272461	-8.616607666015625					Bile	False			False	False	False	False	False	Aptenodytes	Aptenodytes forsteri	1287	4.1201	0	False	True
A0A087QV48	69.0	2.929342269897461	12.535115242004396	1.14.14.154	1	1.14	1.14.14	Lanosterol	False			False	False	False	False	False	Aptenodytes	Aptenodytes forsteri	444	4.1744	0	True	True
A0A087QYA0	27.0	15.436266899108888	11.75246238708496					Peroxisomal	False			False	False	False	False	False	Aptenodytes	Aptenodytes forsteri	236	4.091	0	False	True
A0A087R3Y0	18.0	2.689604997634888	-6.650808334350586					Broad	False			False	False	False	False	True	Aptenodytes	Aptenodytes forsteri	588	4.1422	0	False	True
A0A087R4C2	7.0	8.624690055847168	9.169565200805664					Cytosolic	False			False	False	False	False	False	Aptenodytes	Aptenodytes forsteri	535	4.2061	0	False	True
A0A087R570	46.0	13.854677200317385	-0.4530408978462219	1.14.14.25	1	1.14	1.14.14	Cholesterol	True			False	False	False	False	False	Aptenodytes	Aptenodytes forsteri	394	4.1404	0	True	True
A0A087RDM0	86.0	-2.1602466106414795	-7.672379970550537					Non-lysosomal	False			False	False	False	False	False	Aptenodytes	Aptenodytes forsteri	785	4.2177	0	False	True
A0A087RDU2	90.0	4.6717681884765625	10.645269393920898	1.1.1.62	1	1.1	1.1.1	keto-steroid	False			False	True	True	False	False	Aptenodytes	Aptenodytes forsteri	320	4.1335	0	True	True
A0A087RH11	12.0	10.093676567077637	1.625770926475525	3.1.1.13	3	3.1	3.1.1	Carboxylic	False			False	False	False	False	False	Aptenodytes	Aptenodytes forsteri	556	4.1603	0	True	True
A0A087RHS6	34.0	-5.439582347869873	2.0471081733703613	2.3.1.176	2	2.3	2.3.1	Sterol	False			False	False	False	False	True	Aptenodytes	Aptenodytes forsteri	521	4.1272	0	True	True
A0A087RKL6	21.0	17.71292495727539	-2.3120596408843994	1.14.14.154	1	1.14	1.14.14	hydroxycholesterol	True			False	False	False	False	False	Aptenodytes	Aptenodytes forsteri	448	4.1703	0	True	True
A0A087T4C6	13.0	-3.9139833450317374	-0.9872233867645264	2.3.1.176	2	2.3	2.3.1	Sterol	False			False	False	False	False	True	Stegodyphus	Stegodyphus mimosarum	535	4.1367	0	True	True
A0A087TJN6	47.0	-4.046441555023193	4.478206634521484	1.1.1.62	1	1.1	1.1.1	hydroxyacyl-CoA	False			False	False	True	False	False	Stegodyphus	Stegodyphus mimosarum	260	4.0627	0	True	True
A0A087TZ04	47.0	-3.84346866607666	4.371364593505859	1.1.1.62	1	1.1	1.1.1	hydroxyacyl-CoA	False			False	False	True	False	False	Stegodyphus	Stegodyphus mimosarum	248	4.0393	0	True	True
A0A087TZ07	47.0	-3.623059749603272	4.23028564453125	1.1.1.62	1	1.1	1.1.1	hydroxyacyl-CoA	False			False	False	True	False	False	Stegodyphus	Stegodyphus mimosarum	265	4.0672	0	True	True
A0A087TZ09	47.0	-2.5047366619110107	4.052754878997803	1.1.1.62	1	1.1	1.1.1	hydroxyacyl-CoA	False			False	False	True	False	False	Stegodyphus	Stegodyphus mimosarum	249	4.0445	0	True	True
A0A087V3L8	12.0	10.051115036010742	1.5710687637329102	3.1.1.13	3	3.1	3.1.1	Carboxylic	False			False	False	False	False	False	Balearica	Balearica regulorum	556	4.1629	0	True	True
A0A087V428	12.0	9.796923637390137	3.2060179710388184	1.1.1.170	1	1.1	1.1.1	Sterol-4-alpha-carboxylate	False			False	False	True	False	False	Balearica	Balearica regulorum	338	4.1656	0	True	True
A0A087V6M4	53.0	3.2345428466796875	15.046209335327148	1.1.1.201	1	1.1	1.1.1	beta-hydroxysteroid	False			False	True	True	False	False	Balearica	Balearica regulorum	292	4.081	0	True	True
A0A087V8A8	76.0	9.68617820739746	-8.607625007629395					Bile	False			False	False	False	False	False	Balearica	Balearica regulorum	1285	4.1251	0	False	True
A0A087V8X4	38.0	6.140710830688477	-9.105682373046877					Multidrug	False			False	False	False	False	False	Balearica	Balearica regulorum	1307	4.123	0	False	True
A0A087VF03	55.0	-1.7635862827301023	0.0328394658863544	1.14.14.154	1	1.14	1.14.14	Lanosterol	False			False	False	False	False	False	Balearica	Balearica regulorum	311	4.1537	0	True	True
