cluster	size	dominant_stem	stem_coherence	dominant_go	go_coherence	dominant_kw	kw_coherence	dominant_ec_top	ec_coherence	n_outliers	case_study_score	outlier_accessions	outlier_protein_names
13	186	Glucosylceramidase	0.962	lysosomal membrane	0.973	Hydrolase	0.989	3	1.0	7	0.763	P38571;Q4R4S5;Q5VXI9;Q64194;Q9Z0M5;O35114;P27615	Lysosomal acid lipase/cholesteryl ester hydrolase (Acid chol;Lysosomal acid lipase/cholesteryl ester hydrolase (Acid chol;Lipase member N (EC 3.1.1.13) (EC 3.1.1.3) (Lipase-like abhy;Lysosomal acid lipase/cholesteryl ester hydrolase (Acid chol;Lysosomal acid lipase/cholesteryl ester hydrolase (Acid chol;Lysosome membrane protein 2 (85 kDa lysosomal membrane sialo;Lysosome membrane protein 2 (85 kDa lysosomal membrane sialo
0	224	Hedgehog protein	0.951	patched binding	1.0	Autocatalytic cleavage	1.0		0.0	11	0.761	I3MSV6;I3NAG7;P97812;Q15465;Q62226;Q63673;Q90385;Q91035;Q98862;Q98938;U3IHX4	Sonic hedgehog protein;Indian hedgehog signaling molecule;Indian hedgehog protein (IHH) (EC 3.1.-.-) (HHG-2) [Cleaved ;Sonic hedgehog protein (SHH) (EC 3.1.-.-) (HHG-1) (Shh unpro;Sonic hedgehog protein (SHH) (EC 3.1.-.-) (HHG-1) (Shh unpro;Sonic hedgehog protein (SHH) (EC 3.1.-.-) (Shh unprocessed N;Sonic hedgehog protein (SHH) (EC 3.1.-.-) [Cleaved into: Son;Sonic hedgehog protein (SHH) (EC 3.1.-.-) (Shh unprocessed N;Indian hedgehog B protein (IHHB) (EC 3.1.-.-) (Echidna hedge;Indian hedgehog protein (IHH) (EC 3.1.-.-) [Cleaved into: In;Sonic hedgehog protein
38	93	Glucosylceramidase	0.871	lysosomal membrane	0.871	Lipid metabolism	0.882	1	1.0	12	0.76	A0A671YJA4;A0A8C9SK45;A0A8J7NQP5;A0JMQ6;S7PZA6;W5N8V8;W5N8W2;P49885;P62508;Q6TCH4;Q801G2;Q8TEZ7	Cytochrome P450 4V2 (EC 1.14.14.14) (EC 1.14.14.79) (EC 1.14;Cytochrome P450 4V2 (EC 1.14.14.14) (EC 1.14.14.79) (EC 1.14;Cytochrome P450 4V2 (EC 1.14.14.14) (EC 1.14.14.79) (EC 1.14;Cytochrome P450 4V2 (EC 1.14.14.14) (EC 1.14.14.79) (EC 1.14;Lanosterol 14-alpha demethylase (EC 1.14.14.154) (CYPLI) (Cy;Cytochrome P450 4V2 (EC 1.14.14.14) (EC 1.14.14.79) (EC 1.14;Cytochrome P450 4V2 (EC 1.14.14.14) (EC 1.14.14.79) (EC 1.14;Estrogen receptor (ER) (ER-alpha) (Estradiol receptor) (Nucl;Estrogen-related receptor gamma (ERR gamma-2) (Estrogen rece;Membrane progestin receptor delta (mPR delta) (Membrane prog;Membrane progestin receptor alpha-B (mPR alpha) (Progestin a;Membrane progestin receptor beta (mPR beta) (Lysosomal membr
69	310	Sterol carrier protein 2	0.955	acetyl-CoA C-acyltransferase activity	0.955	Lipid metabolism	1.0	2	1.0	14	0.759	A0A0A7U0E6;A0A0A7U5G6;A0A0K1YXM9;A0A0U1RNR0;A0A1B1QGD5;A0A482CYQ5;A0AAD3NGK6;A0AAD3RKP7;A8CYV3;D4HP48;G0ZCG3;G0ZCG4;Q7YQG8;Q8WMS5	Hormone-sensitive lipase (EC 3.1.1.23) (EC 3.1.1.79) (Monoac;Hormone-sensitive lipase (EC 3.1.1.23) (EC 3.1.1.79) (Monoac;Hormone-sensitive lipase (EC 3.1.1.23) (EC 3.1.1.79) (Monoac;Hormone-sensitive lipase (EC 3.1.1.23) (EC 3.1.1.79) (Monoac;Hormone-sensitive lipase (EC 3.1.1.23) (EC 3.1.1.79) (Monoac;Hormone-sensitive lipase (EC 3.1.1.23) (EC 3.1.1.79) (Monoac;Hormone-sensitive lipase (EC 3.1.1.23) (EC 3.1.1.79) (Monoac;Hormone-sensitive lipase (EC 3.1.1.23) (EC 3.1.1.79) (Monoac;Hormone-sensitive lipase (EC 3.1.1.23) (EC 3.1.1.79) (Monoac;Hormone-sensitive lipase (EC 3.1.1.23) (EC 3.1.1.79) (Monoac;Hormone-sensitive lipase (EC 3.1.1.23) (EC 3.1.1.79) (Monoac;Hormone-sensitive lipase (EC 3.1.1.23) (EC 3.1.1.79) (Monoac;Hormone-sensitive lipase (EC 3.1.1.23) (EC 3.1.1.79) (Monoac;Hormone-sensitive lipase (EC 3.1.1.23) (EC 3.1.1.79) (Monoac
26	77	Caveolin	0.675	endosome	0.857	Golgi apparatus	0.857		0.0	25	0.75	A0A2I3HZQ1;A0A2I3NFC6;A0A2I3THC9;A0A2J8RUH1;A0A2K5M126;A0A2K5X496;A0A2K5ZJM3;A0A2K6B382;A0A2K6KKQ8;A0A2R8ZLU2;C9JA26;A0M8R6;A1X149;P41350;Q00PJ9;Q07DV9;Q07DX1;Q07E02;Q07E25;Q07E49;Q09YH8;Q09YN6;Q108U7;Q2QL79;Q2QLH7	unspecific monooxygenase (EC 1.14.14.1);unspecific monooxygenase (EC 1.14.14.1);unspecific monooxygenase (EC 1.14.14.1);unspecific monooxygenase (EC 1.14.14.1);unspecific monooxygenase (EC 1.14.14.1);unspecific monooxygenase (EC 1.14.14.1);unspecific monooxygenase (EC 1.14.14.1);unspecific monooxygenase (EC 1.14.14.1);unspecific monooxygenase (EC 1.14.14.1);unspecific monooxygenase (EC 1.14.14.1);unspecific monooxygenase (EC 1.14.14.1);Caveolin-1;Caveolin-1;Caveolin-1;Caveolin-1;Caveolin-1;Caveolin-1;Caveolin-1;Caveolin-1;Caveolin-1;Caveolin-1;Caveolin-1;Caveolin-1;Caveolin-1;Caveolin-1
24	83	Apolipoprotein A-II	0.687	protein homodimerization activity	0.807	Secreted	0.759	1	1.0	26	0.749	A0A2U3V7H6;A0A2Y9EXA5;A0A340WXP6;A0A341BVP6;A0A383YMH1;A0A8C9C531;A0A0A0MXN3;A4UZ51;A6YIH7;B3MJ68;B4HBE0;B4II38;B4J496;B4MR44;B4NYU9;B4QCR7;E1JGY2;P02656;P05017;P08025;P08235;P22199;P49880;Q8ISL8;Q8VII8;P30438	11-beta-hydroxysteroid dehydrogenase 1 (EC 1.1.1.146) (EC 1.;11-beta-hydroxysteroid dehydrogenase 1 (EC 1.1.1.146) (EC 1.;11-beta-hydroxysteroid dehydrogenase 1 (EC 1.1.1.146) (EC 1.;11-beta-hydroxysteroid dehydrogenase 1 (EC 1.1.1.146) (EC 1.;11-beta-hydroxysteroid dehydrogenase 1 (EC 1.1.1.146) (EC 1.;11-beta-hydroxysteroid dehydrogenase 1 (EC 1.1.1.146) (EC 1.;Apolipoprotein A-I;Ecdysone receptor (20-hydroxy-ecdysone receptor) (EcRH) (Ecd;Mineralocorticoid receptor (Nuclear receptor subfamily 3 gro;Ecdysone receptor (20-hydroxy-ecdysone receptor) (EcRH) (Ecd;Ecdysone receptor (20-hydroxy-ecdysone receptor) (EcRH) (Ecd;Ecdysone receptor (20-hydroxy-ecdysone receptor) (EcRH) (Ecd;Ecdysone receptor (20-hydroxy-ecdysone receptor) (EcRH) (Ecd;Ecdysone receptor (20-hydroxy-ecdysone receptor) (EcRH) (Ecd;Ecdysone receptor (20-hydroxy-ecdysone receptor) (EcRH) (Ecd;Ecdysone receptor (20-hydroxy-ecdysone receptor) (EcRH) (Ecd;Ecdysone receptor (20-hydroxy-ecdysone receptor) (EcRH) (Ecd;Apolipoprotein C-III (Apo-CIII) (ApoC-III) (Apolipoprotein C;Insulin-like growth factor 1 (Insulin-like growth factor I) ;Insulin-like growth factor 1 (Insulin-like growth factor I) ;Mineralocorticoid receptor (MR) (Nuclear receptor subfamily ;Mineralocorticoid receptor (MR) (Nuclear receptor subfamily ;Ecdysone receptor (20-hydroxy-ecdysone receptor) (20E recept;Apisimin (Apisin subunit Apisimin) (Royal jelly protein RJP5;Mineralocorticoid receptor (MR) (Nuclear receptor subfamily ;Major allergen I polypeptide chain 1 (AG4) (Allergen Cat-1) 
71	82	Non-lysosomal glucosylceramidase	0.854	galactosylceramidase activity	0.854	Lipid metabolism	0.878	1	1.0	12	0.748	A0A7K5A1M8;A0A7K7NAP1;A0A7K8X717;A0A7K9SHJ7;A0A7L0ZB85;A0A7L2VPR1;A0A851MRC4;A0A852BW28;A0A8C9UJ00;A0A8J4I5K2;A0A8J4N210;K7GCL7	11-beta-hydroxysteroid dehydrogenase 1 (EC 1.1.1.146) (EC 1.;11-beta-hydroxysteroid dehydrogenase 1 (EC 1.1.1.146) (EC 1.;11-beta-hydroxysteroid dehydrogenase 1 (EC 1.1.1.146) (EC 1.;11-beta-hydroxysteroid dehydrogenase 1 (EC 1.1.1.146) (EC 1.;11-beta-hydroxysteroid dehydrogenase 1 (EC 1.1.1.146) (EC 1.;11-beta-hydroxysteroid dehydrogenase 1 (EC 1.1.1.146) (EC 1.;11-beta-hydroxysteroid dehydrogenase 1 (EC 1.1.1.146) (EC 1.;11-beta-hydroxysteroid dehydrogenase 1 (EC 1.1.1.146) (EC 1.;3-keto-steroid reductase/17-beta-hydroxysteroid dehydrogenas;11-beta-hydroxysteroid dehydrogenase 1 (EC 1.1.1.146) (EC 1.;11-beta-hydroxysteroid dehydrogenase 1 (EC 1.1.1.146) (EC 1.;3-keto-steroid reductase/17-beta-hydroxysteroid dehydrogenas
11	252	Acyl-coenzyme A diphosphatase NUDT19	0.956	coenzyme A diphosphatase activity	0.956	Hydrolase	0.996	3	0.842	11	0.746	B8DUI5;D4BPE8;P0DXD2;P54965;Q06115;Q6J263;Q6J264;Q6R974;Q9KK62;Q5LF84;WP_243289361	Bile salt hydrolase/transferase (BSH/T) (Bile acid amine N-a;Bile salt hydrolase/transferase (EC 3.5.1.24) (EC 3.5.1.74) ;Bile salt hydrolase/transferase (BSH/T) (Bile acid amine N-a;Bile salt hydrolase/transferase (BSH/T) (Bile acid amine N-a;Bile salt hydrolase/transferase (BSH/T) (Bile acid amine N-a;Bile salt hydrolase/transferase (EC 3.5.1.24) (EC 3.5.1.74) ;Bile salt hydrolase/transferase (EC 3.5.1.24) (EC 3.5.1.74) ;Bile salt hydrolase/transferase (EC 3.5.1.24) (EC 3.5.1.74) ;Bile salt hydrolase/transferase (BSH/T) (Bile acid amine N-a;Choloylglycine hydrolase;Bile salt hydrolase/transferase (BSH/T) (Bifunctional bile a
42	82	Peroxisomal multifunctional enzyme type 2	0.695	peroxisomal matrix	0.744	Lipid metabolism	0.927	4	0.557	25	0.744	A0A553R6K1;A0A8C5V7L5;A0A8T2PG99;A0AAD8ZIT0;A0AAE0UPE5;G1PDM9;O35048;O35469;P14060;P22071;P24815;P26149;P26150;P26439;P27364;P27365;Q60555;Q61694;Q61767;Q62878;Q8BVA5;Q9EQC1;Q9H2F3;Q9H6V9;Q9W0H3	Acyl-coenzyme A thioesterase 8 (EC 3.1.2.1) (EC 3.1.2.11) (E;17-beta-hydroxysteroid dehydrogenase 4 (D-bifunctional prote;Peroxisomal coenzyme A diphosphatase NUDT7 (EC 3.6.1.77) (Nu;Acyl-coenzyme A thioesterase 8 (EC 3.1.2.1) (EC 3.1.2.11) (E;Acyl-coenzyme A thioesterase 8 (EC 3.1.2.1) (EC 3.1.2.11) (E;17-beta-hydroxysteroid dehydrogenase 4 (D-bifunctional prote;3 beta-hydroxysteroid dehydrogenase type 7 (3 beta-hydroxyst;3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase ty;3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase ty;3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase ty;3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase ty;3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase ty;3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase ty;3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase ty;NADPH-dependent 3-keto-steroid reductase Hsd3b5 (3 beta-hydr;3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase ty;3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase ty;NADPH-dependent 3-keto-steroid reductase Hsd3b5 (3 beta-hydr;NADPH-dependent 3-keto-steroid reductase Hsd3b4 (3 beta-hydr;3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase ty;Lipid droplet-associated hydrolase (EC 3.1.1.13) (Lipid drop;3 beta-hydroxysteroid dehydrogenase type 7 (3 beta-hydroxyst;3 beta-hydroxysteroid dehydrogenase type 7 (3 beta-hydroxyst;Lipid droplet-associated hydrolase (EC 3.1.1.13) (Lipid drop;Lipid droplet-associated hydrolase (EC 3.1.1.13) (Lipid drop
80	58	Tetraspanin	0.741	basolateral plasma membrane	0.983	Adaptive immunity	0.983		0.0	15	0.743	A0A286ZTI5;A0A2K5N803;A0A2K5ZG73;A0A2K6APU1;A0A2K6FBV6;A0A2K6RIE0;A0A2R9AHC0;A0A5F8A8W3;A0A7N4V2F1;A0A7N9DC29;A0A8I5NPW7;P35762;Q62745;Q942F3;Q9N0J9	CD81 molecule;CD81 antigen;CD81 antigen;CD81 antigen;CD81 molecule;CD81 antigen;CD81 antigen;CD81 antigen;CD81 molecule;CD81 antigen;CD81 antigen;CD81 antigen (26 kDa cell surface protein TAPA-1) (Target of;CD81 antigen (26 kDa cell surface protein TAPA-1) (Target of;Brassinosteroid LRR receptor kinase BRI1 (EC 2.7.11.1) (Prot;CD81 protein (CD antigen CD81)
29	159	G-protein coupled estrogen receptor 1	0.969	axon	0.943	Receptor	0.981		0.0	5	0.737	A0JNM1;Q80WK2;Q86UW2;Q8MR64;Q8T0P6	Organic solute transporter subunit beta (OST-beta) (Solute c;Organic solute transporter subunit beta (OST-beta) (Solute c;Organic solute transporter subunit beta (OST-beta) (Solute c;GH08370p;GH15292p
33	56	24-hydroxycholesterol 7-alpha-hydroxylase	0.768	heme binding	1.0	Heme	1.0	1	1.0	13	0.735	A0A485NLW2;A0A498NKS8;A0A669QQK2;A0A8B7JJ50;A0A8C0Z7P5;A0A8C2SQY7;A0A8C8YDF3;A0A8D2QJR7;A0A8I5KWQ7;A0A8K1G9W6;A0AA97KXA3;A0ABQ9DBX9;S7PLR1	Cholesterol 24-hydroxylase (EC 1.14.14.25) (Cholesterol 24-m;Cholesterol 24-hydroxylase (EC 1.14.14.25) (Cholesterol 24-m;Lanosterol 14-alpha demethylase (EC 1.14.14.154);Lanosterol 14-alpha demethylase (EC 1.14.14.154);Lanosterol 14-alpha demethylase (EC 1.14.14.154);Lanosterol 14-alpha demethylase (EC 1.14.14.154);Cholesterol 24-hydroxylase (EC 1.14.14.25) (Cholesterol 24-m;Lanosterol 14-alpha demethylase (EC 1.14.14.154);Krev interaction trapped protein 1 (EC 1.14.14.154) (CYPLI) ;Calcipressin-2 (EC 1.14.14.154) (Lanosterol 14-alpha demethy;Lanosterol 14-alpha demethylase (EC 1.14.14.154);Lanosterol 14-alpha demethylase (EC 1.14.14.154);Transmembrane channel-like protein
65	68	Non-lysosomal glucosylceramidase	0.691	beta-glucosidase activity	0.691	Lipid metabolism	0.985	1	0.533	21	0.734	A0A1Y1BBN3;A0A1Y1BG54;A0A2U3XY99;A0A5E4A1Y6;A0A7J7RHB1;A0A8C0KZH2;A0A8I5KRR9;B4E1K5;E9PM00;G4SW86;H0YE57;M1EM44;O76062;O88455;P25340;P32462;Q54NL4;Q71KT5;Q9LDU6;Q9Z2Z8;U6D4J7	7-dehydrocholesterol reductase (7-DHC) (Delta-14-SR) (EC 1.3;7-dehydrocholesterol reductase (7-DHC) (Delta-14-SR) (EC 1.3;7-dehydrocholesterol reductase (7-DHC) (Delta-14-SR) (EC 1.3;7-dehydrocholesterol reductase (7-DHC) (Delta-14-SR) (EC 1.3;7-dehydrocholesterol reductase (7-DHC) (Delta-14-SR) (EC 1.3;7-dehydrocholesterol reductase (7-DHC) (Delta-14-SR) (EC 1.3;7-dehydrocholesterol reductase (7-DHC) (Delta-14-SR) (EC 1.3;7-dehydrocholesterol reductase (7-DHC) (Delta-14-SR) (EC 1.3;7-dehydrocholesterol reductase (7-DHC) (Delta-14-SR) (EC 1.3;Delta(14)-sterol reductase (EC 1.3.1.70) (C-14 sterol reduct;7-dehydrocholesterol reductase (7-DHC) (Delta-14-SR) (EC 1.3;7-dehydrocholesterol reductase (7-DHC) (Delta-14-SR) (EC 1.3;Delta(14)-sterol reductase TM7SF2 (Delta-14-SR) (EC 1.3.1.70;7-dehydrocholesterol reductase (7-DHC reductase) (EC 1.3.1.2;Delta(24(24(1)))-sterol reductase ERG4 (EC 1.3.1.71) (C-24(2;Delta(14)-sterol reductase ERG24 (EC 1.3.1.70) (C-14 sterol ;Vacuole membrane protein 1 homolog (Transmembrane protein 49;Delta(14)-sterol reductase TM7SF2 (Delta-14-SR) (EC 1.3.1.70;7-dehydrocholesterol reductase (7-DHC reductase) (EC 1.3.1.2;7-dehydrocholesterol reductase (7-DHC reductase) (EC 1.3.1.2;7-dehydrocholesterol reductase (7-DHC) (Delta-14-SR) (EC 1.3
32	563	Carboxylic ester hydrolase	0.968	acetylesterase activity	0.995	Secreted	1.0	3	1.0	18	0.721	A0A087X389;A0A3P8S2T1;A0A3Q1FS17;A0A4Z2FRJ3;A0A5C6NIZ8;A0A668V1F3;A0A6F9DMJ0;A0A6P5AC23;A0A8C3A7E7;A0A8J9V7X7;A0A8J9VYS7;A0A9J7MY23;A0AAV1NZV6;A0AAV1P139;A7RXL6;P08185;P31211;Q06770	Bile salt-activated lipase (EC 3.1.1.13) (EC 3.1.1.6) (Bile ;Bile salt-activated lipase (EC 3.1.1.13) (EC 3.1.1.6) (Bile ;Bile salt-activated lipase (EC 3.1.1.13) (EC 3.1.1.6) (Bile ;Bile salt-activated lipase (EC 3.1.1.13) (EC 3.1.1.6) (Bile ;Bile salt-activated lipase (EC 3.1.1.13) (EC 3.1.1.6) (Bile ;Bile salt-activated lipase (EC 3.1.1.13) (EC 3.1.1.6) (Bile ;Bile salt-activated lipase (EC 3.1.1.13) (EC 3.1.1.6) (Bile ;Bile salt-activated lipase (EC 3.1.1.13) (EC 3.1.1.6) (Bile ;Bile salt-activated lipase (EC 3.1.1.13) (EC 3.1.1.6) (Bile ;Bile salt-activated lipase (EC 3.1.1.13) (EC 3.1.1.6) (Bile ;Bile salt-activated lipase (EC 3.1.1.13) (EC 3.1.1.6) (Bile ;Bile salt-activated lipase (EC 3.1.1.13) (EC 3.1.1.6) (Bile ;Bile salt-activated lipase (EC 3.1.1.13) (EC 3.1.1.6) (Bile ;Bile salt-activated lipase (EC 3.1.1.13) (EC 3.1.1.6) (Bile ;Bile salt-activated lipase (EC 3.1.1.13) (EC 3.1.1.6) (Bile ;Corticosteroid-binding globulin (CBG) (Serpin A6) (Transcort;Corticosteroid-binding globulin (CBG) (Serpin A6) (Transcort;Corticosteroid-binding globulin (CBG) (Serpin A6) (Transcort
41	69	Non-selective voltage-gated ion channel VDAC1	0.913	cholesterol binding	0.957	Transport	1.0		0.0	6	0.721	O70577;P02689;P02690;P02692;P12710;Q9R0W2	Solute carrier family 22 member 2 (Organic cation transporte;Myelin P2 protein (Peripheral myelin protein 2);Myelin P2 protein;Fatty acid-binding protein, liver (Fatty acid-binding protei;Fatty acid-binding protein, liver (14 kDa selenium-binding p;Solute carrier family 22 member 2 (Organic cation transporte
63	89	Patched 1	0.652	brain development	0.73	Receptor	0.719	1	1.0	31	0.718	A0A5F5PXT1;A0A667H7M5;A0A671FIZ2;A0A673SSQ9;A0A673T0W3;A0A7J8DNB4;A0A7N5JG51;A0A8C7BSL4;A0A8C8XXV2;A0A8I3PS97;A0A8M9PGW6;A0A9L0JJM8;A0ABI7XDB1;O42145;O46512;P11511;P22443;P28649;P46194;Q1LV36;Q5QQX7;Q5U870;Q69FB6;Q6YI21;Q92112;A0A1S3GR10;A0A2Y9LYS4;A0A6P5J219;A0A6P7Q6Q5;H2PSS7	Steroid 17-alpha-hydroxylase/17,20 lyase (EC 1.14.14.19) (EC;Steroid 17-alpha-hydroxylase/17,20 lyase (EC 1.14.14.19) (EC;Steroid 17-alpha-hydroxylase/17,20 lyase (EC 1.14.14.19) (EC;Steroid 17-alpha-hydroxylase/17,20 lyase (EC 1.14.14.19) (EC;Steroid 17-alpha-hydroxylase/17,20 lyase (EC 1.14.14.19) (EC;Steroid 17-alpha-hydroxylase/17,20 lyase (EC 1.14.14.19) (EC;Steroid 17-alpha-hydroxylase/17,20 lyase (EC 1.14.14.19) (EC;Steroid 17-alpha-hydroxylase/17,20 lyase (EC 1.14.14.19) (EC;Steroid 17-alpha-hydroxylase/17,20 lyase (EC 1.14.14.19) (EC;Steroid 17-alpha-hydroxylase/17,20 lyase (EC 1.14.14.19) (EC;aromatase (EC 1.14.14.14) (Cytochrome P-450AROM) (Estrogen s;Steroid 17-alpha-hydroxylase/17,20 lyase (EC 1.14.14.19) (EC;Steroid 17-alpha-hydroxylase/17,20 lyase (EC 1.14.14.19) (EC;Aromatase (EC 1.14.14.14) (CYPXIX) (Cytochrome P-450AROM) (C;Aromatase (EC 1.14.14.14) (CYPXIX) (Cytochrome P-450AROM) (C;Aromatase (EC 1.14.14.14) (CYPXIX) (Cytochrome P-450AROM) (C;Aromatase (EC 1.14.14.14) (CYPXIX) (Cytochrome P-450AROM) (C;Aromatase (EC 1.14.14.14) (CYPXIX) (Cytochrome P-450AROM) (C;Aromatase (EC 1.14.14.14) (CYPXIX) (Cytochrome P-450AROM) (C;aromatase (EC 1.14.14.14) (Cytochrome P-450AROM) (Estrogen s;Aromatase (EC 1.14.14.14) (CYPXIX) (Cytochrome P-450AROM) (C;aromatase (EC 1.14.14.14) (Cytochrome P-450AROM) (Estrogen s;Aromatase (EC 1.14.14.14) (CYPXIX) (Cytochrome P-450AROM) (C;Aromatase (EC 1.14.14.14) (CYPXIX) (Cytochrome P-450AROM) (C;Aromatase (EC 1.14.14.14) (CYPXIX) (Cytochrome P-450AROM) (C;Protein patched homolog 1;Protein patched homolog 1 isoform X1;Protein patched homolog 1 isoform X1;Protein patched homolog 1 isoform X1;PTCH1 isoform 7 (Patched 1)
56	73	Cytochrome P450 3A	0.575	heme binding	1.0	Heme	1.0	1	1.0	31	0.716	A0A1L9PV97;A0A2G7G0Y2;A0A2I2GN68;A0A2I2ZFH5;A0A2I3GE97;A0A2I3GWG5;A0A2I3RRW1;A0A2K5SBR3;A0A2K5X402;A0A2K6AAK6;A0A2K6AY62;A0A2K6KKT2;A0A2R9BQW4;A0A395IBZ4;A0A3Q0DZS4;A0A5N5WR94;A0A5N6TNE7;A0A5N6YVA3;A0A5N7B902;A0A8C8YSH7;A0A8C8YTB1;A0A8C8Z482;A0A8D2F559;B2ZBF5;B2ZBF6;B4DPR3;F7A3Y7;G3QMS9;G3S2P4;Q7Z447	sterol 14alpha-demethylase (EC 1.14.14.154);Kinesin-like protein KIP2 (EC 1.14.14.154) (EC 2.7.11.23);sterol 14alpha-demethylase (EC 1.14.14.154);unspecific monooxygenase (EC 1.14.14.1);unspecific monooxygenase (EC 1.14.14.1);unspecific monooxygenase (EC 1.14.14.1);unspecific monooxygenase (EC 1.14.14.1);unspecific monooxygenase (EC 1.14.14.1);unspecific monooxygenase (EC 1.14.14.1);unspecific monooxygenase (EC 1.14.14.1);unspecific monooxygenase (EC 1.14.14.1);unspecific monooxygenase (EC 1.14.14.1);unspecific monooxygenase (EC 1.14.14.1);sterol 14alpha-demethylase (EC 1.14.14.154);unspecific monooxygenase (EC 1.14.14.1);sterol 14alpha-demethylase (EC 1.14.14.154);sterol 14alpha-demethylase (EC 1.14.14.154);sterol 14alpha-demethylase (EC 1.14.14.154);sterol 14alpha-demethylase (EC 1.14.14.154);unspecific monooxygenase (EC 1.14.14.1);unspecific monooxygenase (EC 1.14.14.1);unspecific monooxygenase (EC 1.14.14.1);unspecific monooxygenase (EC 1.14.14.1);unspecific monooxygenase (EC 1.14.14.1);unspecific monooxygenase (EC 1.14.14.1);unspecific monooxygenase (EC 1.14.14.1);unspecific monooxygenase (EC 1.14.14.1);unspecific monooxygenase (EC 1.14.14.1);unspecific monooxygenase (EC 1.14.14.1);unspecific monooxygenase (EC 1.14.14.1)
72	58	Bile acid receptor	0.931	euchromatin	0.983	DNA-binding	0.983		0.0	4	0.709	G3V7Y0;A0A2K6L3P6;A0A8C4VLN8;K7FE33	Hedgehog protein;Nuclear receptor subfamily 1 group H member 4;Nuclear receptor subfamily 1 group H member 4;Nuclear receptor subfamily 1 group H member 4
60	212	Hedgehog protein	0.976	peptidase activity	1.0	Autocatalytic cleavage	1.0		0.0	5	0.705	G3UNH5;Q91610;Q91611;Q91612;Q92000	Sonic hedgehog protein;Desert hedgehog protein A (EC 3.1.-.-) (Cephalic hedgehog pr;Desert hedgehog protein B (EC 3.1.-.-) (Desert hedgehog prot;Indian hedgehog protein (IHH) (EC 3.1.-.-) (Banded hedgehog ;Sonic hedgehog protein (SHH) (EC 3.1.-.-) (Shh unprocessed N
25	200	Cholesterol 24-hydroxylase	1.0	dendrite	1.0	Cell projection	1.0	1	1.0	0	0.7		
52	90	Non-lysosomal glucosylceramidase	1.0	galactosylceramidase activity	1.0	Cholesterol metabolism	1.0		0.0	0	0.7		
51	166	Broad substrate specificity ATP-binding cassette transporter ABCG2	1.0	apical plasma membrane	1.0	Transport	1.0		0.0	0	0.7		
49	112	Non-lysosomal glucosylceramidase	1.0	beta-glucosidase activity	1.0	Cholesterol metabolism	1.0		0.0	0	0.7		
34	82	Estrogen receptor	1.0	nuclear estrogen receptor activity	1.0	DNA-binding	1.0		0.0	0	0.7		
28	164	Lanosterol 14-alpha demethylase	0.988	heme binding	1.0	Heme	1.0	1	1.0	2	0.693	P9WPP9;Q9SAA9	Sterol 14alpha-demethylase (EC 1.14.15.36) (CYPLI) (Cytochro;Sterol 14-demethylase (EC 1.14.14.154) (Cytochrome P450 51A2
35	81	Multidrug resistance-associated protein 1	0.988	ATP hydrolysis activity	0.988	Hydrolase	0.975	1	1.0	1	0.691	A0A5F5PWV0	Structural maintenance of chromosomes protein
78	75	Sodium/potassium-transporting ATPase subunit alpha	0.987	sodium:potassium-exchanging ATPase complex	0.987	Ion transport	1.0		0.0	1	0.691	Q27433	Mechanosensory protein 2
12	83	Bile salt export pump	0.976	ATP hydrolysis activity	1.0	Repeat	1.0		0.0	2	0.687	Q9LJX0;Q9ZR72	ABC transporter B family member 19 (ABC transporter ABCB.19);ABC transporter B family member 1 (ABC transporter ABCB.1) (
44	385	Glucosylceramidase	0.977	galactosylceramidase activity	0.992	Hydrolase	1.0	3	1.0	9	0.684	A0A670YYY8;A0A6P6H5L5;P08842;P15589;P17439;P50427;Q2KHZ8;Q5R8E3;Q70KH2	Non-lysosomal glucosylceramidase (EC 3.2.1.45) (EC 3.2.1.46);Lysosomal acid glucosylceramidase (EC 3.2.1.45) (EC 3.2.1.46;Steryl-sulfatase (EC 3.1.6.2) (Arylsulfatase C) (ASC) (Estro;Steryl-sulfatase (EC 3.1.6.2) (Arylsulfatase C) (ASC) (Stero;Lysosomal acid glucosylceramidase (Lysosomal acid GCase) (EC;Steryl-sulfatase (EC 3.1.6.2) (Arylsulfatase C) (ASC) (Stero;Lysosomal acid glucosylceramidase (EC 3.2.1.45) (Acid beta-g;Lysosomal acid glucosylceramidase (EC 3.2.1.45) (Acid beta-g;Lysosomal acid glucosylceramidase (EC 3.2.1.45) (Acid beta-g
