accession	cluster_id	nn_identity	is_rep	backfilled
A0A3B3ZUQ6	1	0.5443	False	False
A0A3B3ZWH2	1	0.5477000000000001	False	False
A0A3B4AJU1	1	0.4827	False	False
A0A3B4C6K3	1	0.5666	False	False
A0A3B4CS27	1	0.5664	False	False
A0A3B4E4T1	1	0.5787	False	False
A0A3B4FEC5	1	0.5614	False	False
A0A3B4GS93	1	0.4767	False	False
A0A3B4GYC2	1	0.4891	False	False
A0A3B4TGL1	1	0.5637	False	False
A0A3B4TU04	1	0.5409	False	False
A0A3B4UGV4	1	0.4924	False	False
A0A3B4UQ97	1	0.4771	False	False
A0A3B4V456	1	0.5694	False	False
A0A3B4WVJ9	1	0.48810000000000003	False	False
A0A3B4X5T7	1	0.4794	False	False
A0A3B4XKU9	1	0.5596	False	False
A0A3B4Y5U4	1	0.5521	False	False
A0A3B4Y7R0	1	0.5728	False	False
A0A3B4YMP6	1	0.5718	False	False
A0A3B4YYS1	1	0.547	False	False
A0A3B5A1Y5	1	0.4808	False	False
A0A3B5AJA7	1	0.5656	False	False
A0A3B5B6T5	1	0.486	False	False
A0A3B5K1N7	1	0.49770000000000003	False	False
A0A3B5KWH5	1	0.4509	False	False
A0A3B5LDW1	1	0.5023	False	False
A0A3B5M0M5	1	0.5477000000000001	False	False
A0A3B5M2J6	1	0.5357999999999999	False	False
A0A3B5QCS1	1	0.5474	False	False
A0A3B5QZ50	1	0.5329999999999999	False	False
A0A3L7H8J6	1	0.5809000000000001	False	False
A0A3L7ID99	1	0.7601	False	False
A0A3L8DMY3	1	0.4689	False	False
A0A3M0IRS9	1	0.9758	False	False
A0A3N0XVC3	1	0.5714	False	False
A0A3N0YL71	1	0.4571	False	False
A0A3P8NVC7	1	0.4891	False	False
A0A3P8PM10	1	0.5566	False	False
A0A3P8RHG9	1	0.5614	False	False
A0A3P8RS50	1	0.4946	False	False
A0A3P8RS64	1	0.4978	False	False
A0A3P8T649	1	0.4907	False	False
A0A3P8T8U1	1	0.5788	False	False
A0A3P8TDM1	1	0.5518	False	False
A0A3P8U565	1	0.5683	False	False
A0A3P8UEE7	1	0.5728	False	False
A0A3P8UI02	1	0.5749	False	False
A0A3P8UMD8	1	0.5682	False	False
A0A3P8UMI4	1	0.5732	False	False
A0A3P8XX39	1	0.45880000000000004	False	False
A0A3P8YBZ6	1	0.5542	False	False
A0A3P8ZKH8	1	0.5629	False	False
A0A3P9AU40	1	0.5637	False	False
A0A3P9AUT5	1	0.5704	False	False
A0A3P9BSQ8	1	0.47369999999999995	False	False
A0A3P9H3E5	1	0.4767	False	False
A0A3P9HQ07	1	0.5628	False	False
A0A3P9HQ24	1	0.5655	False	False
A0A3P9J2N6	1	0.5611999999999999	False	False
A0A3P9JYQ6	1	0.49420000000000003	False	False
A0A3P9JZN6	1	0.5437	False	False
A0A3P9LSL2	1	0.5617	False	False
A0A3P9NUF2	1	0.5398	False	False
A0A3P9NUR4	1	0.5199	False	False
A0A3P9P2N4	1	0.4677	False	False
A0A3P9QAN7	1	0.49329999999999996	False	False
A0A3Q0DZ18	1	0.5317000000000001	False	False
A0A3Q0RSL2	1	0.568	False	False
A0A3Q0S6L2	1	0.4814	False	False
A0A3Q0SKC5	1	0.5589999999999999	False	False
A0A3Q1ASU4	1	0.49200000000000005	False	False
A0A3Q1D408	1	0.4924	False	False
A0A3Q1DC99	1	0.5585	False	False
A0A3Q1EN99	1	0.57	False	False
A0A3Q1F7A8	1	0.4907	False	False
A0A3Q1FSF6	1	0.5446	False	False
A0A3Q1G5D9	1	0.4838	False	False
A0A3Q1GFL6	1	0.5767	False	False
A0A3Q1JJS8	1	0.47240000000000004	False	False
A0A3Q1JKA7	1	0.5585	False	False
A0A3Q1JNC3	1	0.4924	False	False
A0A3Q2CCM2	1	0.4792	False	False
A0A3Q2CGS2	1	0.5617	False	False
A0A3Q2DPP0	1	0.45890000000000003	False	False
A0A3Q2DW64	1	0.5483	False	False
A0A3Q2NMI5	1	0.5123	False	False
A0A3Q2P4Y5	1	0.5489999999999999	False	False
A0A3Q2P4Z5	1	0.4885	False	False
A0A3Q2QQF6	1	0.5742	False	False
A0A3Q2UUJ4	1	0.47369999999999995	False	False
A0A3Q2V7G2	1	0.4869	False	False
A0A3Q2WXY6	1	0.5637	False	False
A0A3Q2WXZ0	1	0.5704	False	False
A0A3Q2XDR1	1	0.4888	False	False
A0A3Q2XPR7	1	0.5648	False	False
A0A3Q2YFQ0	1	0.5426	False	False
A0A3Q2ZB64	1	0.5921	False	False
A0A3Q3BNV0	1	0.48619999999999997	False	False
A0A3Q3CH51	1	0.4767	False	False
A0A3Q3EDH3	1	0.5422	False	False
A0A3Q3EWP0	1	0.4987	False	False
A0A3Q3IQ44	1	0.5725	False	False
A0A3Q3IT37	1	0.5545	False	False
A0A3Q3J1S2	1	0.5600999999999999	False	False
A0A3Q3J6B5	1	0.5516	False	False
A0A3Q3JF92	1	0.46649999999999997	False	False
A0A3Q3L7G6	1	0.47859999999999997	False	False
A0A3Q3L860	1	0.5505	False	False
A0A3Q3M4K9	1	0.5845	False	False
A0A3Q3N160	1	0.4694	False	False
A0A3Q3N284	1	0.5710999999999999	False	False
A0A3Q3NKX8	1	0.5738	False	False
A0A3Q3Q8Q8	1	0.5631	False	False
A0A3Q3QQY0	1	0.5333	False	False
A0A3Q3QWP5	1	0.4816	False	False
A0A3Q3VVL2	1	0.48829999999999996	False	False
A0A3Q3VZA9	1	0.5221	False	False
A0A3Q3W3J6	1	0.48869999999999997	False	False
A0A3Q3W3W9	1	0.588	False	False
A0A3Q3WC48	1	0.5588000000000001	False	False
A0A3Q4AVL2	1	0.49439999999999995	False	False
A0A3Q4HG44	1	0.5616	False	False
A0A3Q4HLG2	1	0.4804	False	False
A0A3Q4HLQ4	1	0.5566	False	False
A0A3Q4HPQ7	1	0.47909999999999997	False	False
A0A3Q7PPL7	1	0.501	False	False
A0A3Q7RQ58	1	0.5756	False	False
A0A3Q7SKR1	1	0.7676999999999999	False	False
A0A3Q7TRH1	1	0.5825	False	False
A0A3R5VPV7	1	0.5564	False	False
A0A3S2NT73	1	0.5707	False	False
A0A3S2P1G3	1	0.47909999999999997	False	False
A0A3S3S556	1	0.46840000000000004	False	False
A0A401PLE8	1	0.578	False	False
A0A401SG82	1	0.5659000000000001	False	False
A0A443R1L8	1	0.47740000000000005	False	False
A0A443SPU9	1	0.4482	False	False
A0A444ULE0	1	0.5674	False	False
A0A444V459	1	0.5893999999999999	False	False
A0A447G0W1	1	0.5176	False	False
A0A452E142	1	0.7652	False	False
A0A452EW38	1	0.5854	False	False
A0A452FTR7	1	0.5806	False	False
A0A452FUF0	1	0.5327000000000001	False	False
A0A452HES3	1	0.7888	False	False
A0A452HES4	1	0.7843000000000001	False	False
A0A452HEU2	1	0.7874	False	False
A0A452I9L9	1	0.6033	False	False
A0A452S894	1	0.5752	False	False
A0A452S8E6	1	0.578	False	False
A0A482CVZ8	1	0.484	False	False
A0A482WNW4	1	0.4851	False	False
A0A484BNG6	1	0.42229999999999995	False	False
A0A484C1J4	1	0.5424	False	False
A0A484C3B4	1	0.5317000000000001	False	False
A0A484CR60	1	0.5472	False	False
A0A484CVI7	1	0.46409999999999996	False	False
A0A484D5B3	1	0.4783	False	False
A0A484GSW9	1	0.5805	False	False
A0A485MYR2	1	0.5805	False	False
A0A485PUK1	1	0.7626000000000001	False	False
A0A498M8M8	1	0.555	False	False
A0A498N4Q7	1	0.5634	False	False
A0A4D9DY25	1	0.7956	False	False
A0A4D9EIM3	1	0.5958	False	False
A0A4S2KYX4	1	0.4558	False	False
A0A4U1EEI5	1	0.755	False	False
A0A4U1EZX8	1	0.5805	False	False
A0A4U1FIK3	1	0.5423	False	False
A0A4U5TYC0	1	0.5752	False	False
A0A4U5USL7	1	0.4858	False	False
A0A4U5UYH6	1	0.551	False	False
A0A4U5VH98	1	0.5638000000000001	False	False
A0A4W2CR13	1	0.5898	False	False
A0A4W2G0X3	1	0.5108	False	False
A0A4W2GDV5	1	0.7425	False	False
A0A4W3I343	1	0.4458	False	False
A0A4W4DQX1	1	0.5697	False	False
A0A4W4DRJ3	1	0.5732	False	False
A0A4W4DRY6	1	0.5639	False	False
A0A4W4ELV5	1	0.5411	False	False
A0A4W4EN68	1	0.5439	False	False
A0A4W4F687	1	0.5670000000000001	False	False
A0A4W4GQK2	1	0.5763	False	False
A0A4W5JC04	1	0.5644	False	False
A0A4W5JRS6	1	0.5613	False	False
A0A4W5JWH8	1	0.5579	False	False
A0A4W5K685	1	0.5519	False	False
A0A4W5L3Z9	1	0.5511	False	False
A0A4W5LVN5	1	0.547	False	False
A0A4W5M0G2	1	0.5566	False	False
A0A4W5NYR2	1	0.5487	False	False
A0A4W5RUQ1	1	0.4727	False	False
A0A4W6EX43	1	0.5704	False	False
A0A4W6EXC2	1	0.4783	False	False
A0A4W6FAT2	1	0.5227	False	False
A0A4W6FBR7	1	0.5352	False	False
A0A4W6FBS1	1	0.5081	False	False
A0A4W6FHK6	1	0.5409	False	False
A0A4X1U583	1	0.5445	False	False
A0A4X1UI09	1	0.5829	False	False
A0A4X2JY06	1	0.578	False	False
A0A4X2KGA8	1	0.7569	False	False
A0A4X2KP89	1	0.4818	False	False
A0A4Y1LTG3	1	0.45	False	False
A0A4Y2BFL0	1	0.4343	False	False
A0A4Z2BQX0	1	0.5676	False	False
A0A4Z2BX29	1	0.5617	False	False
A0A4Z2I5T9	1	0.5628	False	False
A0A4Z2IHR0	1	0.43920000000000003	False	False
A0A510GG52	1	0.5324	False	False
A0A553MR73	1	0.486	False	False
A0A556TW54	1	0.4646	False	False
A0A5A9NCQ5	1	0.4793	False	False
A0A5A9P267	1	0.5547	False	False
A0A5A9PRW1	1	0.5468	False	False
A0A5C6MT44	1	0.48460000000000003	False	False
A0A5C6NVC4	1	0.5593	False	False
A0A5C6PMR4	1	0.4815	False	False
A0A5E4AWX1	1	0.5854	False	False
A0A5E4BSQ1	1	0.7702	False	False
A0A5E4C014	1	0.5461	False	False
A0A5E4C270	1	0.5176	False	False
A0A5E4MDS5	1	0.4143	False	False
A0A5J5CD69	1	0.5710999999999999	False	False
A0A5J5CIP0	1	0.5521	False	False
A0A5J5D101	1	0.5507	False	False
A0A5J5MHK1	1	0.5829	False	False
A0A5N3WM43	1	0.5854	False	False
A0A5N3XNS8	1	0.5573	False	False
A0A5N4DFD3	1	0.7576	False	False
A0A5N4E7I1	1	0.5941	False	False
A0A5N5KYB8	1	0.5670000000000001	False	False
A0A5N5PE64	1	0.5738	False	False
A0A5N5PKP5	1	0.5697	False	False
A0A662YJG0	1	0.5847	False	False
A0A663DB75	1	0.5766	False	False
A0A663EFM2	1	0.943	False	False
A0A665W0H8	1	0.5532	False	False
A0A665W0Z4	1	0.5532	False	False
A0A665W105	1	0.5504	False	False
A0A665W194	1	0.5537	False	False
A0A665X5N5	1	0.5481	False	False
A0A665X8Q3	1	0.4913	False	False
A0A665XBZ1	1	0.4579	False	False
A0A667GV35	1	0.5635	False	False
A0A667HJU6	1	0.48479999999999995	False	False
A0A667WA65	1	0.5387	False	False
A0A667WA68	1	0.5078	False	False
A0A667WAC0	1	0.528	False	False
A0A667WIR8	1	0.5440999999999999	False	False
A0A667WJ22	1	0.5443	False	False
A0A667WJ48	1	0.5440999999999999	False	False
A0A667WLU7	1	0.5305	False	False
A0A667WX48	1	0.4989	False	False
A0A667XEU7	1	0.5697	False	False
A0A667YMH6	1	0.5645	False	False
A0A668A5U8	1	0.5545	False	False
A0A668A5V6	1	0.5368999999999999	False	False
A0A668A9W3	1	0.5579999999999999	False	False
A0A668A9Y2	1	0.5589999999999999	False	False
A0A668AIN1	1	0.484	False	False
A0A668APP3	1	0.5593	False	False
A0A668APP7	1	0.5577000000000001	False	False
A0A668APQ0	1	0.5553	False	False
A0A668RNW0	1	0.4916	False	False
A0A668SY24	1	0.4869	False	False
A0A669C0N8	1	0.4805	False	False
A0A669C2D3	1	0.4888	False	False
A0A669C8G4	1	0.47909999999999997	False	False
A0A669CBD7	1	0.5236999999999999	False	False
A0A669CTP0	1	0.529	False	False
A0A669DAG3	1	0.5206000000000001	False	False
A0A669DKM3	1	0.5146000000000001	False	False
A0A669DSS0	1	0.4869	False	False
A0A669E0N1	1	0.5049	False	False
A0A669F506	1	0.58	False	False
A0A669P4Q7	1	0.6004999999999999	False	False
A0A670YBI7	1	0.6836	False	False
A0A671EHE5	1	0.5805	False	False
A0A671EXQ6	1	0.7652	False	False
A0A671FG42	1	0.5575	False	False
A0A671K387	1	0.5714	False	False
A0A671K4P9	1	0.5697	False	False
A0A671KLF0	1	0.5666	False	False
A0A671MH71	1	0.4371	False	False
A0A671NJF5	1	0.5526	False	False
A0A671PRX9	1	0.547	False	False
A0A671RYW8	1	0.5518	False	False
A0A671TCI6	1	0.4681	False	False
A0A671VKW0	1	0.5542	False	False
A0A671VYN6	1	0.5569	False	False
A0A671WXX7	1	0.4816	False	False
A0A671YZZ9	1	0.5783	False	False
A0A671Z4G0	1	0.4727	False	False
A0A672HKS6	1	0.5629	False	False
A0A672I2Y8	1	0.4989	False	False
A0A672INY4	1	0.5732	False	False
A0A672IP08	1	0.5333	False	False
A0A672IR50	1	0.5708	False	False
A0A672J802	1	0.5577000000000001	False	False
A0A672KCW3	1	0.569	False	False
A0A672L381	1	0.4703	False	False
A0A672PG94	1	0.4637	False	False
A0A672PJ57	1	0.5574	False	False
A0A672RZA8	1	0.555	False	False
A0A672S2F6	1	0.5446	False	False
A0A672SKC2	1	0.5666	False	False
A0A672TB08	1	0.547	False	False
A0A672ULA1	1	0.9489	False	False
A0A672YAD6	1	0.48450000000000004	False	False
A0A673ARQ2	1	0.5422	False	False
A0A673B7F0	1	0.46909999999999996	False	False
A0A673GMU5	1	0.5502	False	False
A0A673JFS4	1	0.5502	False	False
A0A673K2Q4	1	0.5714	False	False
A0A673KQJ8	1	0.5738	False	False
A0A673LAD7	1	0.547	False	False
A0A673LVQ1	1	0.547	False	False
A0A673N3U0	1	0.4725	False	False
A0A673NN19	1	0.4683	False	False
A0A673TRF5	1	0.7626000000000001	False	False
A0A673TVP1	1	0.6607999999999999	False	False
A0A673WH20	1	0.5632	False	False
A0A673WY70	1	0.5463	False	False
A0A673XVZ2	1	0.5627	False	False
A0A673XW00	1	0.5542	False	False
A0A673Y7Q5	1	0.5582	False	False
A0A674A8U5	1	0.5589999999999999	False	False
A0A674ATW8	1	0.45189999999999997	False	False
A0A674AZ56	1	0.5718	False	False
A0A674AZ93	1	0.5721	False	False
A0A674B0H8	1	0.5667	False	False
A0A674BGM5	1	0.5621	False	False
A0A674E3Z9	1	0.5494	False	False
A0A674E410	1	0.5483	False	False
A0A674E4P3	1	0.5528	False	False
A0A674EBS2	1	0.478	False	False
A0A674GVJ8	1	0.9686	False	False
A0A674HUV4	1	0.5864	False	False
A0A674KAJ7	1	0.8005	False	False
A0A6A4RU62	1	0.4365	False	False
A0A6A4SBH0	1	0.5505	False	False
A0A6A4TKV5	1	0.5585	False	False
A0A6A5DTD5	1	0.5339	False	False
A0A6A5DZA3	1	0.5472	False	False
A0A6A5E2F8	1	0.4619	False	False
A0A6A5EQF9	1	0.5521	False	False
A0A6A5FDB5	1	0.47609999999999997	False	False
A0A6G0HHB9	1	0.5822999999999999	False	False
A0A6G0HL93	1	0.5496	False	False
A0A6G0IPM2	1	0.45630000000000004	False	False
A0A6G0J750	1	0.47479999999999994	False	False
A0A6G1PDE6	1	0.5585	False	False
A0A6G1PYA3	1	0.4747	False	False
A0A6G1QLT0	1	0.5542	False	False
A0A6I8NAI9	1	0.7569	False	False
A0A6I8PLX7	1	0.45890000000000003	False	False
A0A6I9I9U0	1	0.5927	False	False
A0A6I9KW44	1	0.5791	False	False
A0A6I9L7M6	1	0.7676999999999999	False	False
A0A6I9M1I7	1	0.5877	False	False
A0A6I9NIQ3	1	0.5795	False	False
A0A6I9NN43	1	0.5437	False	False
A0A6I9P3K4	1	0.4978	False	False
A0A6I9PH45	1	0.4817	False	False
A0A6I9V957	1	0.40869999999999995	False	False
A0A6I9VP40	1	0.4744	False	False
A0A6J0BIH1	1	0.4911	False	False
A0A6J0J1P0	1	0.9612999999999999	False	False
A0A6J0SQR2	1	0.7045999999999999	False	False
A0A6J0YF47	1	0.5839	False	False
A0A6J1LV84	1	0.41159999999999997	False	False
A0A6J1MLL8	1	0.5314	False	False
A0A6J1RZF2	1	0.4593	False	False
A0A6J1V3T4	1	0.6931999999999999	False	False
A0A6J1YLY4	1	0.5805	False	False
A0A6J1YRA2	1	0.45520000000000005	False	False
A0A6J2B9W7	1	0.4987	False	False
A0A6J2BCY7	1	0.5401	False	False
A0A6J2CP33	1	0.5756	False	False
A0A6J2K384	1	0.469	False	False
A0A6J2LEP4	1	0.5902000000000001	False	False
A0A6J2MQ69	1	0.5756	False	False
A0A6J2N9S7	1	0.7551000000000001	False	False
A0A6J2Q0I5	1	0.4902	False	False
A0A6J2RT65	1	0.5521	False	False
A0A6J2RWS5	1	0.46909999999999996	False	False
A0A6J2T705	1	0.40590000000000004	False	False
A0A6J2UXF7	1	0.4454	False	False
A0A6J2VGT0	1	0.569	False	False
A0A6J2VYJ8	1	0.5803	False	False
A0A6J2W0H3	1	0.5735	False	False
A0A6J2WF36	1	0.569	False	False
A0A6J2YVS3	1	0.5	False	False
A0A6J3C0G8	1	0.4843	False	False
A0A6J3CKI1	1	0.5953	False	False
A0A6J3EC30	1	0.9248999999999999	False	False
A0A6J3EHE0	1	0.8946	False	False
A0A6J3F5P9	1	0.5418	False	False
A0A6J3HVH3	1	0.5791	False	False
A0A6J3J8K8	1	0.7676999999999999	False	False
A0A6J3JVU6	1	0.4808	False	False
A0A6J3RVS8	1	0.5488000000000001	False	False
A0A6M2DUE9	1	0.4752	False	False
A0A6P3EQH3	1	0.5611999999999999	False	False
A0A6P3F4J9	1	0.7525	False	False
A0A6P3FIE7	1	0.5805	False	False
A0A6P3IPY9	1	0.5126	False	False
A0A6P3QP89	1	0.7652	False	False
A0A6P3VWX5	1	0.5431	False	False
A0A6P3XKS1	1	0.45890000000000003	False	False
A0A6P4I4Q2	1	0.4289	False	False
A0A6P4ZKC0	1	0.4867	False	False
A0A6P5II90	1	0.7569	False	False
A0A6P5LJV6	1	0.5805	False	False
A0A6P5M5Z2	1	0.4767	False	False
A0A6P5PQE8	1	0.589	False	False
A0A6P5PYU1	1	0.5323	False	False
A0A6P5R9W4	1	0.7601	False	False
A0A6P6KGF1	1	0.5422	False	False
A0A6P6KIF9	1	0.5431	False	False
A0A6P6KQP1	1	0.5666	False	False
A0A6P6M7G4	1	0.4725	False	False
A0A6P6MTS3	1	0.4703	False	False
A0A6P6NVT9	1	0.547	False	False
A0A6P6PTR6	1	0.5502	False	False
A0A6P6Q3A4	1	0.5763	False	False
A0A6P7G313	1	0.5329999999999999	False	False
A0A6P7HN91	1	0.48479999999999995	False	False
A0A6P7HU25	1	0.5585	False	False
A0A6P7IUR7	1	0.4914	False	False
A0A6P7K2P0	1	0.5832999999999999	False	False
A0A6P7KGQ8	1	0.5468	False	False
